stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,22.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.82,0,4.07,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0.66,0
 36-46,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,1.39,0
 48-58,0,0.49,0,0,2.55,0,0,0,1.88,1.63,7.32,1.24,0,0,0,0,3.65,1.56
 60-70,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.99,1.34,7.05,1.8,13.06,0.87,33.47,0,0,0,0.57,0,0,7.98
 84-94,0,0,0,0,0.96,1.43,1.44,0.62,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.2,2.94,3.74,0,1.77,0,0,2.61,0,0.64,3.63,1.83
108-118,0,0,0.99,0.8,0.81,0,0.54,1.59,4.64,0,2.52,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.02,2.85,0,0,0,0,0,0,0
