stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,3.28,0,0,0,0,9.39,0,0,0,0,0,0,16.57,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.99,0,0,0,0,9.52,0,0,0,0,0,0,43.88,0,0,0,18.14,0,0,0,0,0,0,5.78,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0.88,0.85,0,0,0,0,2.52,0,7.47,45.84,47.42,0,0,0,0,0,0,2.43,0,0.91,107.6,125.5,0,2.1,0,0
 24-34,0,0.65,1.33,2.05,0.61,0,0.83,0.7,0,0,0,0,0,6.87,0,7.84,30.7,402.31,1.63,0.65,0,0,1.64,0,0,0,0,6.8,236.15,0,12.58,0,0
 36-46,0,0,0,1.2,0.97,0,0,0,0,0,3.81,0,0.66,19.87,0.68,25.57,30.95,605.82,0,0,0,0,0.9,0.81,0,0,0,0,174.7,0,12.53,0,0
 48-58,0,0,0,0,2.62,0,0,0,3,0,0,0.9,0,58.62,2.99,85.93,19.73,247.27,0,0,0,0,1.17,0,0,0,0,0,122.77,0,3.64,0,0
 60-70,0,0,0,0,13.39,0,1.64,3.24,2.98,0,0,1.79,5.17,162.12,1.77,241.94,0.69,82.43,0,0,0,0,0,0,0,0,0,0,102.81,0,4.87,0,0
 72-82,0,0,0,5.11,16,2.77,2.92,19.79,0.56,0,0,0.65,0,221.93,31.84,190.67,30.36,97.41,0,0,0,3.36,0,0,0,0,0,0,234.07,2.5,2.08,23.38,0
 84-94,0,1.92,5.76,0,9.2,0,0.57,5.32,7.23,0,0,0,0,198.66,14.42,167.91,1.84,67.48,0.9,0.72,0,23.63,0,0,0,0.7,0,0,223.98,0.68,7.65,21.12,0
 96-106,0,1.04,1.61,9.64,5.4,0.67,0,6.05,7.97,0,0,3.69,0,183.24,24.9,141.4,21.32,47.6,0,0.62,0,5.25,3.11,0,0,0,0,0,381.58,0,0.62,20.18,0
108-118,0,1.18,1.06,4.94,3.2,0,15.64,16.7,5.15,0,0,2.86,0,176.49,43.8,119.61,17.66,20.13,0,0.54,0,14.96,1.92,0,0,0,0,0,153.49,0,1,14.18,1.82
120,0,3.64,0,3.12,17.89,0,0,4.53,1.92,0,0,2.12,0,55.95,17.24,90.57,48.66,8.53,0,2.56,0,12.85,5.02,0,0,0,0,0,107.4,0,0,0,0
