stage,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0
 24-34,0.66,0,0,0,0,0,0,0,2.07,0,4.54,0,0,3.88,0
 36-46,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.51,0,0,0,0
 60-70,8.67,0,0,0,0,0,0,0,0,4.13,4.34,0,0,0,0
 72-82,1.12,0,0,0,0,0,0,0,3.45,0,13.87,0,0.58,0,0
 84-94,0,0,0.97,0,0,0,0,0,2.79,0,3.17,0,0,0,0.78
 96-106,0,0,0,0,0,0,1.28,1.54,0,5.03,0,0,4.11,0,2.17
108-118,2.29,0.87,0,0,1.58,0,0,0,1.61,1.67,7.19,0,3.83,0,0
120,0,0,1.31,0,0,6.35,0,0,0,0,0,4.09,4.41,0,0
