stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,2175.77,52594.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466.14,0,0,0,0,0,0
  5-6,2097.44,22198.87,54.27,0,0,0,0,0,0,0,0,51.94,0,0,0,0,0,0,0,694.61,47.6,0,0,32.16,447.23,0,0,0,0,0,0
  7-9,34.39,19.31,23.49,0,0,0,33.84,0,0,0,0,21,0,0,0,0,0,0,0,871.14,43.78,0,0,187.97,4.29,114.4,0,0,0,0,0
 10-12,0,0,23.45,0,0,0,15.01,0,0,0,0,9.36,0,0,0,0,0,0,0,117.6,0,0,0,68.35,6.22,5.33,0,0,0,0,0
 14-21,0,0,0,6.57,2.48,0,0,0,0,0,0.82,0,0,0,0,0,0,0.86,1.73,6.7,0.94,0,0,0,7,0.9,1.99,1,11.77,0,0
 24-34,0,0,0,2.43,0,0,4.48,1.73,0,0,0,0,0,0,0,0,1.49,13.85,1.26,8.98,0,2.74,0,0,14.08,0,0,0,19.34,2.62,1.55
 36-46,0,0,0,0,0,0,20.24,0.62,0,0,1.34,0,0,0,0,0.72,0,9.01,0,17.11,0,35.24,0.88,0,15.35,1.17,0,0,13.76,0,0
 48-58,0,0,0,0,0,0,24.55,0,0,0,0,0,0,0,3.12,0,0,6.31,0,10.79,0,0.86,0,0,5.78,0,0,0,2.88,0.51,0
 60-70,0,0,0,0,0,0,33.76,0,0,0,0,0,0,0,43.41,0,0,0.92,0,2.83,0,0,0,0,10.38,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,19.3,0,0,1.03,0,0,0,0,49.87,0,0,4.98,0.62,11.45,0,2.8,1.27,0,2.66,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,44.05,0.55,0,0,0,0,0.93,0.76,33.54,0,0,6.66,0,33.67,0,2.36,0,0,0.64,0,0,0,0,0,0
 96-106,0,0,0,1.2,0,0,6.49,0,0.66,0,0,0,0,0,5.69,0,0,2.98,0,1.93,0,3.47,0,0,0.9,0,0,0,0,0,0
108-118,0,0,0.74,3.59,0,0.47,5.14,0.97,0,0.44,0,0,0,0,5.95,1.42,0,4.13,0,13.23,0,0,0,0,4.45,1.81,0,0,0,0,12.93
120,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,1.18,0,0,2.09,0,0,0,2.49,0,0,0,0,0,0,0,0,12.46
