stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.13,8.56,2.77,0,1.69,0,0,0,3.14,1.19,0,0,0,0,0,0,1.83,0,0,0.83,62.45,0,0,0,0.83,0,1.02,5.24,0,0.87,10.68,34.06,0,0,0,0
 24-34,0,0.86,2.93,0,0,11.18,0,0,0,4.51,0,0,0.6,1.22,0,0,0,12.71,0,0,18.44,163.89,0,2.39,0.64,0,1.14,8.4,0,0,0,0.64,30.79,0,4.21,0,0
 36-46,0,0,2.4,0,0,19.48,0,0,0.87,12.1,0,0,0,0,0,0,0,9.98,0,1.73,3.7,151.11,2.09,0,1.45,0,0,5.5,0,0,0,0,39.08,0,0,0,0
 48-58,0,0,4.05,0,0,49.09,0.38,0,0.47,25.23,0,1.05,0,0,0,0,0,10.2,1.37,0,0.49,162.61,0,0,1.8,0,0,1.15,0,0,0,0,26.89,0,0,0,0
 60-70,0,0,4.17,0,0,73.19,0,0.69,0,15.96,1.93,0.79,1.98,0,0,0,1.37,23.04,0,8.49,4.27,149.32,0,0,0,0,0,10.52,0,0,2.06,0,36.7,0,0,0,0
 72-82,1.61,0,4.11,4.11,0,50.83,0,0,5.41,7.37,0,0,0,0,0,0,0,15.64,0,0,0.61,81.19,0,0,0,0,0,4.35,0,0,0,0,20.86,2.94,1.67,0,0
 84-94,0,0,1.71,10.3,0,45.81,0,0,0.65,7.05,0,0,0.65,0,8.02,0,0,21.84,0,0,1.16,87.53,0,0,0.79,0,0,10.22,0,0,0,0,16.56,0.84,0,1.35,0
 96-106,0,0,1.16,0,0,37.09,0,0,3.14,7.7,0,0,1.88,0,0,2.99,4.68,18.1,0,0,2.93,58.07,0,1.8,2.63,0,0,11.21,0,0,0,0,5.97,0,8.85,0.62,1.41
108-118,0,0,4.08,1.13,2.74,45.5,0,0,2.85,9.82,1.61,0,1.45,0.63,0.67,0.78,0,13.85,0.96,0,1.64,59.28,0,0.46,0.96,0,3.72,8.81,0,0,0,0,4.7,0.57,6.14,0.5,0
120,0,0,12.75,0,0,19.74,0,6.2,0,1.39,2.33,0,7.49,0,8.53,1.11,0,33.38,0,0,1.96,106.01,0,0,0,0,0,2.72,0,1.83,0,0,0,0,15.16,0,0
