stage,blastomeres,eye,fin.mesenchyme,glial,gut,mesenchyme,neural,otic,periderm,spinal.cord,vasculature
  3-4,44.32,0,0,0,0,0,0,0,0,0,0
  5-6,33.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.37,0,3.07,0,0
 14-21,0,0,0,0,0,0,3.53,0,0,0,0
 24-34,0,1.44,0,0,0,0,25.39,2.35,0,1.24,0.98
 36-46,0,1.17,0,1.4,0,0,24.19,0,0,7.07,0
 48-58,0,9.35,0,0.91,0,0.5,40.12,0,0,5.64,0.66
 60-70,0,13.45,0,4.22,0,0,28.71,0,0,6.52,0
 72-82,0,18.28,0,1.73,0,0,23.15,0,0,3.66,0.63
 84-94,0,6.74,1.05,3.81,0,0,6.57,0,0,0,1.16
 96-106,0,1.48,0,0,0,0,17.51,1.44,0,0,0
108-118,0,5.01,0,1.27,2.4,0.66,14.93,0.9,0.57,0,0
120,0,3.62,0,0,2.57,0,69.27,0,0,2.78,17.7
