stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.07,0,0,0,0,18.98,0,0,0,0,0,0,0,0,32.19,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.24,0,0,0,0,9.02,0,0,0,0,0,0,0,0,7.17,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.79,0.9,0,46.63,0,0,0,0,1.58,0,0,0,0,1.91,0,0,0.82,12.58,1.01,0,0,0.99,0,4.34,0.8,0,3.07,1.66,0,0,0,0,0
 24-34,0,0,0,0.94,0.61,0,330.47,0,0,0,0,0,0,7.97,0,0,3.04,0,0,0,30.05,0,1.55,0.74,0,0,0,0,0,0.67,12.48,0,0,9.57,0,0
 36-46,0,0,0,0.84,0,0,295.35,0,0,3.1,0,0,0,4.36,0,0,3.94,0,0.74,0.56,52.67,0.63,0,0.74,0,0,7.13,0,0,1.38,24.35,0,0,0,0,1.72
 48-58,0,0,0,1.21,0,0,250.55,0,0,5.53,0,0.37,0,2.96,0,0,4.63,0.57,0,0.38,31.88,0.92,0,3.92,0,0,1.9,0,0,0,16.93,0,0,2.04,0,0
 60-70,0,0,0,0.73,0,0,293.13,0,3.25,43.56,0,0,0,8.83,0,0,21.03,0,0,0.6,13.32,2.34,0,3.18,0,0,3.15,0,0,0,4.47,0,0.8,0.72,0,0
 72-82,0,0,0,0.78,0,0,215.67,1.52,0,94.44,0.51,0,0,19.3,0,2.31,97.35,0,3.96,0,15.41,0,0,1.07,0,0,1.41,0,0,0,0,1.21,1.19,0,1.09,0
 84-94,0,0,1.04,0.57,0,0,350.05,0,0,72.02,11.39,0,0.69,16.69,0,0,141.33,0,0,0,23.96,0,0,3.36,0,0,0,0,0,0,0,0,0,1.96,0,0
 96-106,0,1.91,0,3.3,6.1,0,181.54,0,0,128.21,0.9,0,0,20.92,0,0,238.38,0,0,0,24.12,0,0,2.72,0,1.61,0,0,0.71,0,0,0,0,1.55,0,0
108-118,0,0,0,2.5,5.81,9.22,193.96,0,0,110.15,4.1,0,2.57,20.28,0,5.24,293.97,0,0,0,32.31,0,0.57,0,0,0,0,0,0.82,0,0,0,0,0,0,2.22
120,0,0,0,34.64,0,5.36,187.46,0,0,124.57,3.52,0,0,4.72,16.98,0,199.07,1.05,0,0,25.51,0,0,0,0,0,2.93,0,1.21,0,0,0,0,0,0,0
