stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.6,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,41.72,0,0,7.08,0,0,0,0,0,0
 10-12,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,33.77,0,0,4.5,0,0,7.91,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,23.18,45.27,0,0,0,0,1.38,0,22.15,0,0
 24-34,0,0,0,1.47,7.98,0,1.11,0,0,0,0,0,0.78,0,14.3,182.39,0.71,0.62,0,0,0,0,0.95,12.6,0
 36-46,0,0,0,0.86,6.64,0,6.79,0,0,2.31,0,0,3.42,0,1.97,177.05,0.66,0,0,0.67,0,0,0,4.4,0
 48-58,0,0,0,4.68,12.92,0.7,29.05,0,5.26,0,0.45,0,7.42,0,16.12,118.95,0,2.62,0,2.84,0,0,0,5.68,0
 60-70,0,0,0,1.76,0.86,0,41.4,0,0,0,0,0,46.22,0,26.4,75.71,0,12.19,0,1.25,0,0,0,10.66,0
 72-82,0,0,0,5.61,23.56,0,93.8,0,0,0,0,0,52.6,0,89.42,64.93,0,13.81,0,0,0,0,0,5.67,0
 84-94,0,0,0,0,17.98,0,78.99,3.69,0,0,0,0,30.17,2.25,42.04,56.66,0,6.26,0,0,0,0,0,18.26,0
 96-106,0,0,0,4.31,23.84,1.21,184.56,0,0,0,0,0,71.41,0,56.68,60.72,0,13.05,0,0,0,0,0,11.92,0.81
108-118,0,0,0.98,1.55,9.77,0,135.32,0,0,0,0.53,1.74,84.79,0,39.69,43.19,0,25.6,0,0,0,0,0,0,0.72
120,0,0,0,0,24.62,0,177.57,2.27,0,0,0,0,45.95,0,15.47,86.61,0,32.85,0,0,0,0,0,0,0
