stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,9.76,0,0,0,3.88,0,0,0,0,0,0,0,16.2,0,0,0,4.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0
 14-21,0,1.26,0,1.3,0,2.93,0,0,0,0,0,0,0,0,0,18.97,0,0,0,0,0,0,3.17,1.15,9.75,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,1.26,0,0.74,289.81,0,3.7,0,0,0,0,0,0,54.09,1.86,0,4.43
 36-46,0,0,0,3.41,0,13.54,0,0,0,0,0,0,1.16,0,0,544.81,0,4.43,0,0,0,1.25,0,0,52.89,0,0,10.73
 48-58,0,0.82,0,15.69,0.44,3.81,0,0,0.48,0,0,1.45,7.05,0,0.53,830.78,0,3.04,0.82,0,0,0,0,0,17.33,0,0,6.51
 60-70,0,0.87,0,67.63,0,17.48,0,0,0.9,0,0.72,0,24.74,0.65,0,976.86,0,0,0,0,0,3.65,0,0,17.04,0,0,14.46
 72-82,0.58,4.93,0,96.74,0,35.33,1.68,0,0,0,0,0,17.85,5.5,0,1760.92,0,1.42,2.53,0,0,4.2,0,0,28.11,6.74,0,18.65
 84-94,0.7,1.8,0,92.89,0.91,10.41,0,0,4.5,0,0,0,17.88,0,0.98,889.04,0,3.82,0.71,0,0,0,0,0,25.72,0,0.62,8.95
 96-106,0,0,5.33,81.45,2.77,23.07,0,0,0,0.93,0,0,10.45,0,0,1010.6,0,3.34,1.5,0,0,1.02,0,0,9.66,2.81,0,5.1
108-118,0,11.77,0,61.05,1.1,26.58,0.87,0,0,0,0,2.23,9.95,0,0,1100.3,0,2.54,1.15,0,1.82,0,0,0,12.05,0.55,0,3.36
120,0,6.54,0,60.61,0,29.22,8.62,0,0,0,0,0,14.24,0,0,1254.59,2.99,0,0,0,0,0,0,0,10.36,2.66,0,0
