stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.4,628.46,2.35,0,4.27,0,0,0,4.81,0,1.07,0,0.97,0,0.93,0.93,8.83,2.23,0,15.32,103.02,1.75,0,0,2.72,465.64,5.15,3.63,15.3,29.51,0,1.49,0,0
 24-34,2.29,126.66,0.6,0,23.7,0,0.77,0.67,3.11,2.46,3.43,0,0,0,1.66,0.76,37.37,5.57,0,8.43,293.54,0,2.55,7.73,0,259.12,0,3.59,0.61,66.4,0,9.3,0,0
 36-46,0,70.2,0,0,27.04,0,4.12,0,11.98,1.49,3.23,0,1.48,0,0.6,0,18,0,0,6.57,282.87,0,2.73,1.4,0,168.79,0,2.88,0,46.23,0,7.92,0,2.12
 48-58,0,9.23,3.01,0,59.83,0.67,0.49,2.53,15.45,0,0.49,0,4.72,0,1.59,1.36,28.68,0,0.63,16.57,170.78,3.6,2.41,4.95,0,50.65,0,0.38,0,25.68,0,5.7,0,0
 60-70,0,12.67,0,0,60.4,0,0,11.69,17.49,8.2,0,0,0,9.09,6.61,0,27.54,2.31,8.67,2.69,173.66,0,1.42,8.22,0,23.87,0,5.84,0,22.73,0,2.79,0,0
 72-82,0,5.18,0,1.65,106.41,0,0,1.26,13.86,0,2.31,0.75,0,1.03,3.33,0,29.21,0,1.62,9.26,127.2,0,7.61,28.06,0,8.91,0,2.15,0,15.54,0.73,23.09,0,0
 84-94,0,5.86,0,1.97,43.1,0,0.81,0.59,14.62,0.57,0.6,0,0,0.97,9.68,0.58,22.8,0,0,3.6,66.77,4.93,28.24,12.62,0,17.24,0,9.88,0,8.63,0,47.43,0,0
 96-106,0,8.88,0,0,15.02,10.06,0,0.86,11.51,10.69,2.2,0,0,1.14,16.39,4.26,27.5,0,8.22,2.26,79.65,0,30.33,47.06,0,6.47,0,3.49,0,0,0,30.11,0,0
108-118,0,8.9,1.75,2.36,42.26,0,1.32,4.78,12.81,7.69,0,0,0,0.55,17.33,2.47,53.94,0,0,1.38,65.33,0,26.1,33.85,0,6.09,0,5.02,0,2.65,0,22.83,2.35,0
120,0,30.35,1.49,0,24.95,0,0,3.18,33.46,31.99,0,0,1.4,0,10.19,6.77,60.78,0,0,2.96,103.15,0,8.98,56.33,0,8.08,0,2.87,0,0,0,14.93,0,4.77
