stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.01,211.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,0,8.35,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.47,22.35,0,0,33.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.65,0,10.03,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.65,7.13,0,0,127.52,0,0,4.75,5.34,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,7.09,72.99,18.51,0,14.48,9.59,0,6.92,5.46,0,0,0,0,1.75,2.04,1.78,50.72,0,0,20.21,188.14,6.05,1.03,9.44,5.62,0,0,17.05,23.31,36.55,238.78,70.08,0,0,8.24,0,0
 24-34,0.88,0,1.97,1.99,23.38,0.67,0,32.37,46.98,3.68,12.1,1.32,7.55,0,0,1.94,1.39,0,2.3,103.6,0,2.52,64.43,426.41,10.12,5.54,13.07,0,0.99,1.69,0.85,3.98,1.92,42.35,134.6,0,0,16.24,0,0
 36-46,0,0,0.95,0,19.91,0,0,24.62,23.64,13.02,38,0,11.05,1.03,0,1.4,2.6,1.21,0,185.2,0,1.22,51.85,412.56,26.92,2.92,3.49,0,0,0,0,0,0,0,147.41,0,1.04,25.27,0,1.52
 48-58,0,0,0,0,12.34,2.22,0,51.26,13.44,12.98,78.67,0,2.76,0,0,0.84,7.3,0.48,0,257.02,0,8.8,48.83,593.8,4.31,2.62,8.64,0,1.15,1.7,0,1.05,0,0,172.66,0,0.51,9.6,0,1.59
 60-70,0,0,0,0,19.84,0,0,62.01,3.19,22.3,92.95,0.85,0,0,0.61,0,2.66,0,0,352.97,0,10.9,28.41,933.6,5.04,12.11,9.49,0,7.16,0,0,0,0,0,316.94,0,2.85,10.85,2.9,0
 72-82,0,0,1.45,0,24.45,4.86,0,107.96,2.86,28.4,116.7,0.76,5.15,0.59,0.9,3.98,1.13,0,6.69,570.77,0.58,21.99,46.71,1668.26,0.91,8.22,24.51,0,5.51,5.73,0,1.5,0,0,176.37,2.8,10.49,24.71,7.51,3.06
 84-94,0,0,0,0,48.92,0.92,0,139.51,5.21,12.02,106.63,1.83,6.62,1.54,0,0.6,15.73,1.48,10.43,438.23,0.61,14.52,27.89,1153.64,11.47,6.04,12.21,0,5.01,3.29,0,2.7,0,0,128.23,3.78,8.64,22.15,4.33,7.05
 96-106,0,0,3.26,0,72.33,7.24,0.9,142.14,4.37,32.92,140.83,6.95,14.05,6.17,2.01,1.68,2.82,1.99,1.36,436.91,0,24.65,26.12,1178.96,8.36,24.81,20.79,0,9.39,9.88,0,1.46,0,0,74.41,0.61,13.82,28.3,9.69,4.51
108-118,0,0,1.73,0,71.15,0.44,0,122.29,10.81,16,152.13,3.3,4.63,4.22,3.5,4.79,7.63,1.89,1.8,426.4,0.93,29.37,21.63,1558.09,8.4,7.6,25.68,0,11.49,0.58,0,1.72,0,0,74.53,0,6.21,26.05,11.3,13
120,0,0,0,0,58.08,3.04,0,241.27,7.29,22.09,88.91,0,10.28,6.93,0,3.17,4.65,0,0,307.27,12.38,33.03,4.46,1765.14,23.29,0,8.94,0,22.53,1.08,0,0,0,0,27.59,0,5.4,21.28,14.75,3.58
