stage,axial,blastomeres,endoderm,eye,neural,paraxial.mesoderm
  3-4,0,227.78,0,0,0,0
  5-6,14.38,229.03,0,0,0,0
  7-9,9.95,0,0,0,42.48,0
 10-12,0,11.46,0,11.19,28.93,35.27
 14-21,0,0,0,0,2.19,1.46
 24-34,0,0,0.62,0,1.24,0
 36-46,0,0,0,0,2.24,0
 48-58,0,0,0,0,0.65,0
