stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.05,379.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,26.48,527.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.27,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0
  7-9,36.44,53.71,70.76,0,0,0,123,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,0,1196.31,5.84,0,0,386.46,0,3.63,9.34,0,0,0,0,0,0,0,0,0
 10-12,0,26.78,74.6,0,0,0,101.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.08,19.26,0,0,398.13,0,3.81,9.58,0,17.12,9.94,0,0,0,0,0,0
 14-21,0,0,7.06,58.2,9.87,0,26.11,0,0,16.36,2.03,3.99,0,0,1.97,0,0,8.02,26.72,1.15,0,23.47,470.62,20.66,0,9.91,18.03,0,29.63,1.1,38.75,0,30.11,132.5,0,0,2.52,0,0
 24-34,0,0,4.47,6.22,2.9,0,109.08,0,2.02,7.87,1.69,0,0,0,0,0.92,0,0,79.01,0,0.82,27.64,733.66,7.33,0,13.5,0,0,18.18,0,0,1.17,2.36,120.5,0,0,11.54,0,6.42
 36-46,0,0,0,7.87,1.46,0,130.63,0,0,10.98,4.52,0,0.73,0.96,0,4.25,0.57,1.75,52.32,0,3.07,12.65,387.62,0,1.52,1.9,0,0,12.81,0,0,0.82,0,58.14,0,0,16.44,0,1.72
 48-58,0,0,0,6.6,1.12,0,138.93,0,2.32,13.49,0,0,0,0.84,0.39,0,0,0,77.51,0,2.59,14.34,192.65,0.79,0,4.54,0,0,6.96,0,0,0,0,16.15,0,0,4.72,0,5.06
 60-70,0.81,0,0,11.95,0,0,104.41,0,0,19.41,2.42,0,0,1.26,0,3.11,0,2.82,50.1,0,2.18,11.67,85.64,0.83,0,1.79,0,1.79,7.11,0,0,0,0,5.12,0.84,0,2.36,2.65,16.25
 72-82,0,0,0,6.48,0,0,38.86,0.68,1.03,9.97,2.07,0,1.43,0,1.02,0,0,1.35,58.95,0.73,2.77,5,67.4,0,0.67,2.41,0,0.71,4.57,0,0,0,0,6.58,0,0,3.05,0.93,2.27
 84-94,0,0,0,6.14,0.88,1.09,40.59,0,0,2.61,3.95,0,0,0.64,1.74,1,6.92,0,34.59,0.58,6.72,10.61,52.2,0.67,0.97,0.62,0,0.57,5.72,0,0,0,0,1.08,0.81,0.63,3.57,0.82,0
 96-106,0,0,0,7.39,0,0,28.41,0,0,12.61,3.9,0,0,1.77,2.1,1.53,0,1.37,27.86,0,0,2.5,43.44,0,0,1.57,0,0,1.08,0,0,2.04,0,0,0,0,0,1.12,9.11
108-118,0,0,0,11.24,2.47,0,36.8,0,0.83,18.47,2.64,0,0.47,2.2,0,2.64,0,0,26.11,0,0.92,3.83,66.95,0.77,0.49,0.98,0,0,5.92,0,0,0,0,0.78,0,0,2.51,0,0
120,0,0,0,14.44,4.34,0,15.35,0,0,18.93,0,0,0,11.66,0,0,0,0,29.07,0,0,1.99,105.98,0,0,0,0,0,1.37,0,0,0,0,19.88,0,0,2.73,0,0
