stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,332.55,4858.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.58,0,0,0,0,0,0,0,0,0
  5-6,512.81,8983.2,0,0,0,0,0,0,0,0,0,116.54,0,0,0,0,0,0,0,0,0,0,608.66,36.12,0,0,66.53,0,123.61,0,0,0,0,0,0,0,0,0
  7-9,47.38,135.27,103.74,0,0,0,214.83,0,0,0,0,102.07,0,0,0,0,0,0,0,0,0,0,2746.58,82.2,0,0,802.32,0,5.76,5.24,0,0,0,0,0,0,0,0
 10-12,0,28.01,57.54,0,4.67,0,126.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305.98,13.51,0,0,513.36,0,0,9.03,11.29,91.66,0,0,0,0,0,0
 14-21,2.31,0,5.86,34.86,4.94,0,21.23,0,0,8.85,6.47,0.94,0.89,0,0,0.93,0,0,27.78,0,0,13.28,437.03,2.95,0,0,10.74,0,0,0,47.77,4.86,0.84,25.45,97.75,0,0,0
 24-34,0,0,1.27,3.25,0,0,40.53,0,0,5.72,1.08,0,0,1.47,0,0,0,0.9,31.98,0,0,12.19,456.19,0,0.62,3.61,0,0,3.9,0,0,0,0,0.59,91.09,0,2.25,1.12
 36-46,0,0,0,12.58,0,0,62.4,0,0,11.34,0,0,0,1.19,0,0.79,0,0,38.24,0,0,3.38,212.4,0,5.94,0,0,0,9.33,0,0,0,0,0,53.11,0,4.09,0
 48-58,0,0,0,1.24,0,0,102.49,0,0.46,27.85,0,0,0,0,3.3,3.02,0,1.33,38.21,0,1.99,3.07,171.11,0,1.16,1.02,0,0,0.46,0,0,0,0,0,26.81,0,2.11,0.48
 60-70,0,0,0,2.46,0,0,41.24,0,0,27.75,0.62,0,0,0,0,1.16,0,0,19.12,0.9,0,3.08,63.17,0,0,1.01,0,0,0,0,0,0,0,0,7.52,0.61,1.01,0
 72-82,0,0,0,1.29,0,0,21.97,3.26,0.69,19.74,0.67,0,0,3.35,0.64,0,0,0,16.8,0,1.84,1.31,33.09,0,1.14,0,0,0,1.58,0,0,0,0,0,1.27,0,3.55,2.14
 84-94,0,0,0,0.58,0,0,17.36,0,0,0.55,1.92,0,0,0,0.66,0,0,0,11.77,0,0,1.35,11.38,1.11,8.89,0,0,0,0,0,0,0,0,0,5.36,0,1.98,3.06
 96-106,0,0,0,0.82,0,0,18.7,0,0,3.13,0,0,0,0,0,0,0,0,11.18,0,0.59,0.62,22.71,0,0,0,0,2.45,0,0,0,0,0,0,5.48,0,1.26,0
108-118,0,0,0,1.75,0,0.58,15.19,0,0,2.81,0,0,0,0,0,0,0,0,3.19,0,0,0.51,22.24,0,0,0.92,0,0,1.23,0,0,0,0,0,0.46,0,0,0
120,0,0,0,9.12,1.49,0,18.84,0,4.41,0,0,0,0,0,1.18,0,8.18,0,6.98,0,0,3.01,68.73,3.31,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
