stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,0,53.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,136.5,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,3.22,0,0,0,32.14,0,15.91,0,0,0,0
 10-12,0,0,14.82,0,0,3.32,0,0,0,0,0,0,52.88,0,34.02,0,0,0,0
 14-21,0,0,0,5.83,1.07,0,0,0,0,0,0,0,10.06,1.2,0,1.85,3.55,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.21,12.37,0,0,0,5.83,0,2.59
 36-46,0,0,0,0,0,0.57,1.14,0,0,0,0.57,1.54,4.88,0,0,0,3.25,0,0
 48-58,0,0,0,0,0,5.41,4.91,0,0,0,2.59,0,8.39,0.39,0,0,0.98,0,0
 60-70,0,0,0,0,0,1.19,0,0,0,0,0.88,1.02,0.91,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.79,0,0,0,0,3.67,0,2.26,0,0,0,0,0.71,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.22,0,0,0,0,0.83,0,1.01,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.42,0,0,0.63,0,0.82,0,0,0,0,0,0
120,0,0,0,0,0,0,3.88,0,0,2.03,0,0,0,2.2,0,0,0,0,0
