stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,12.81,73.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0
  7-9,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,0,0,3.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.35,0,0,9.16,0,0,0,0,0,0,0
 14-21,0,0,0,60.73,0,0,3.28,0,0,0,0,0,0,0,1.82,0,0,10.77,0,0.98,0.94,1.08,1.05,22.83,0.86,1.17,0,0
 24-34,0,0,0,48.1,0,1.44,6.66,0,0,0,0.65,0,0,0,4.05,0,5.28,37.5,0,0.63,0,1.02,0,1,0.6,5.56,0,4.75
 36-46,0,0,0.58,39.72,0,1.74,14.69,0,0,0,0,0,0,0,4.15,0,0,18.49,0.91,0,0,0,0,0.86,0,1.82,0,0.72
 48-58,0,0,0,49.18,0,2.21,2.56,0,0.43,0,0,0.51,0,0,2.4,0,0,15.86,0,0,0,0,0,1.49,0,1.72,0,0
 60-70,0,0,0,50.86,0,4.64,20.82,0.84,0,0,2.48,0,0,0.81,3.29,0,0,4.33,0,2.01,0,0,0,1.87,0,2.89,0,0
 72-82,0,0,0,30.86,0,10.05,3.7,0,0,0,0,0,0.81,0,1.21,0,0,13.06,0,0,0,3.25,0,0,0,0,1.18,0
 84-94,0,0,0,54.37,0,3.27,13.34,0,2.12,7.14,0,0.58,0,0,1.37,0,0,4.28,0,0,0,0.61,0,3.14,0,0,2.06,3.62
 96-106,0,0,0,75.36,5.91,0.72,9.29,0,0,2.34,0,0,2.29,0,1.66,0.68,0,0,2.26,0.96,0,4.1,0,1.37,0,0,0,0
108-118,0,0,0,91.63,0,6.55,46.04,0,0.58,4.03,0.48,0,0,0.95,8.88,0,0,19.84,4.05,0,0,0.44,0,1.34,0,0,3.83,1.41
120,0,0,0,43.85,0,3.22,8.24,0,0,2.69,0,0,0,0,1.22,1.12,0,0,0,0,0,1.35,0,0,0,0,0,0
