stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,19.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0.92,0,1.79,0,0,0.89,0,0.93,0,0,0,0,0,8.06,0,0,1.86,2.93,0.95,0,0.84,1.91,3.24,0,0,0
 24-34,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,4.89,1.05,26.55,0,0,0,0,0,0,1.54,0.8,5.26,0,1.24,0
 36-46,0,0,1.05,0,0,3.68,2.03,0,0,0,0,0,0,0.8,14.02,0,29.96,2.42,0,0,1.44,0,9.05,9.81,0,5.96,0,0,0
 48-58,0,0,0,0,0,1.25,0,0,1.04,0.46,0,0,5.08,0,28.84,0.63,29.37,0,0,0,1.97,0,0,0,0,2.4,0,0,2.72
 60-70,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,16.9,0.95,25.17,0.73,7.86,0,0,0,0,0,0,0,0.63,0,0
 72-82,0,0,0,0,0,107.14,0,0.61,2.15,0.56,0,0,0,0,19.36,1.79,40.57,0,0,0,0,0,0,0,0,9.14,0,0,1.14
 84-94,0,0,6.25,0,0.59,100.66,0,0,2.19,0.66,0,0,0.62,0,33.9,0.68,58.27,0,0,0,0,0,0,0,0,0.67,0,0,0
 96-106,0,1.1,0,0,0,162.22,0,0,0,0,0,0.77,0,0,10.77,2.81,20.69,0,1.74,0,5.9,0,0,0,0,1.12,0,0,0
108-118,0,0,1.11,1.5,0,238.53,0,3.18,1.24,1.16,0,0,0,0,46.3,2.87,27.79,0.96,0,0,0,0,0,0,0,0,0,0,0
120,0,0,2.89,0,0,283.68,3.1,0,0,0,0,0,0,0,11.51,2.74,107.43,0,0,0,0,0,0,0,0,0,0,0,0
