stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.52,14.7,51.31,15.49,0,24.77,0,0,0,2.08,9.18,3.45,0.85,0,0.82,1.5,0,5.67,3.77,32.74,0,0,18.33,201.41,15.93,0,8.39,4.12,0,12.63,0.9,38.19,4.53,4.06,35.89,58.76,0,0,10.12,0,7.98
 24-34,0,1.5,4.38,28.71,8.66,0,57.14,0,4.47,0.71,14.77,2.97,0,6.68,4.55,6.01,1.4,1.41,4.07,38.41,70.9,0,0,27.05,391.54,9.11,0.59,5.82,0,0,37,0,0,3.58,0,2.13,79.23,0,0,42.03,0,45
 36-46,0,1.68,0,25.26,1.13,0,108.82,0,6.14,5.47,33.6,1.95,0.59,5.55,14.22,3.29,7.6,2.36,0.66,72.72,133.68,3.88,1.13,24.36,496.7,3.07,6,2.61,0,0,62.68,1.11,0.9,6.39,0.71,0,151.93,0,0,24.33,0,40.21
 48-58,0,0,0,18.7,2.82,0,97.41,0.67,3.72,3.67,70.8,0,4.49,3.92,16.9,3.98,19.33,2.13,1.69,63.14,123.72,2.87,2.04,14.73,173.65,3.64,3.18,8.1,0,0,22.04,0,0,0,0,0,78.83,0,0,24.01,0,23.54
 60-70,0,0.89,0,17.31,0.61,0,122.27,0,3.51,9.89,87.58,9.23,0.77,5.97,5.08,1.61,79.8,1.99,0,11.96,234.07,8.31,1.35,32.54,136.78,2.62,0,22.75,0,1.68,48.34,0,0,6.77,0.67,0,35.77,4.64,1.75,21.77,0,35.56
 72-82,0,3.58,0,5.49,10.68,0,58.07,0,0,8.95,48.21,1.35,0,1.69,11.41,2.86,42.92,1.34,0,14.29,155.92,13.96,3.75,7.59,79.72,2.48,3.38,4.86,0,3.15,13.74,0,0,2.02,0,0,0.96,4.73,5.8,38.07,5.4,13.44
 84-94,0.62,1.96,0,36.81,36.01,1.57,57.07,2.63,0,8.7,39.85,9.75,0,0.8,13.4,5.34,54.84,6.88,2.14,17.23,116.13,13.34,1.35,9.11,72.34,1.21,1.66,3.85,0,0,91.14,0,0,5.97,0.69,0,14.27,0,6.37,56.32,5.16,10.91
 96-106,0,1.36,0,24.44,6.31,0.71,27.96,0.64,1.95,6.23,36.32,16.53,0,1.23,12.78,6.22,29.17,4.54,0.7,5.22,71.72,3.69,1.34,6.27,51.21,0.66,4.18,6.78,0,0,88.08,0,0,1.71,0,0,0,1.31,3.26,29,9.73,4.21
108-118,0,0.8,0,37.49,5.88,1.4,40.14,0.78,6.32,1.32,23.6,17.67,0,0.52,14.88,4.38,57.75,4.16,5.39,8.65,83.61,6.69,1.49,4.65,65.07,0.94,2.39,7.6,0,0,52.37,0,0,2.91,0,0,5.57,1.85,2.28,15.2,3.69,3.46
120,0,13.87,0,58.43,1.28,2.35,37.5,0,2.2,2.41,44.25,23.46,0,0,35.74,5.59,33.34,5.65,1.43,5.66,77.44,6.44,0,4.03,80.25,8.69,2.88,12.59,0,0,47.74,0,0,10.59,0,0,0,3.09,3.4,44.81,0,0
