stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,413.21,7707.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8,0,0,0,0,0,0,0
  5-6,415.38,6178.49,27.81,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,305.82,6.07,0,44.65,88.62,0,0,0,0,0,0,0
  7-9,44.24,108.59,106.05,0,0,178.15,0,0,0,48.11,0,0,0,0,0,0,0,2104.73,44.66,0,716.37,3.92,17.22,0,0,0,0,0,0
 10-12,0,5.73,55.73,0,0,100.45,0,0,0,12.48,0,0,0,0,0,0,0,580.64,30.79,0,337.95,0,42.41,0,28.34,0,0,0,0
 14-21,0,0,4.13,18.79,12.4,7.23,0,0,0.97,3.41,0,0,0,0,7.89,0,0.84,38.25,0,0,2.45,0,0,11.13,1.67,7.48,24.49,0,0
 24-34,0,0,0,1.01,48.99,2.27,0,1.35,0,0,0,0,0,0,3.32,0,1.31,15.12,0.75,0.61,0,1.87,0.98,0,0,0,34.6,0,0
 36-46,0,0,0,0,10.85,1.14,0,0,0,0,1.65,0.6,1.11,0,7.95,0,1.14,0.91,0,0,0,2.22,0,0,0.65,0,48,0,0
 48-58,0,0,0,0,23.01,0.7,0,1.38,0,0,0,0,0,0,4.04,0,0.38,18.2,1.42,0,0,6.63,0,0,0,0,41.05,0.51,0
 60-70,0,0,0,2.13,22.85,6.47,1.14,4.4,0,0,0,0,0,0,6.65,0,2.1,3.01,0,1.03,0,0.75,0,0,0,0,31.59,0,0
 72-82,0,0,0,0,48.3,21.95,0,1.33,0,0,0,0,1.57,0,9.34,0,2.05,12.88,0,0,0,0,0,0,0,0,4.29,0,0
 84-94,0,0,0,0,47.35,5.29,0.74,0,0,0,0,0,0,0,10.71,0,0.84,22.41,0,3.24,0,0,0,0,0,0,3.8,0,0.57
 96-106,0,0,0,0,110.61,6.17,0,6.1,0,0,0,0,1.08,0,10.82,0.67,0,17.55,0.66,1.38,0,0,0,0,0,0,0,1.79,0
108-118,0,0,0.74,0.9,55.73,4.68,0,0.77,0,0,0,0,0.63,0,3.66,0.79,2.65,22.42,0.51,2.19,0,0,0.42,0,0,0,4.95,0,0
120,0,0,0,0,60.3,13.33,0,0,0,0,0,0,3.86,9.99,10.57,0,1.44,5.55,0,0,0,0,0,0,0,0,0,0,0
