stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,periderm,pronephros,spinal_cord,vasculature
  3-4,11.84,0,0,0,0,0,0,0,0,0,0,0,0,35.46,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,64.55,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0
 14-21,0,1.25,0,0,0,0,0,0,0,0,0,0,1.46,140.32,3.71,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,9.02,126.91,12.96,0,0
 36-46,0,0,0,1.06,0,0,2.14,0,0,0,0,0,0,181.64,0,0.6,0
 48-58,0,0,0,0.61,1.35,0,0,0,7.23,0.88,0,0,1.83,88.99,2.31,0,0
 60-70,0,0,0,0,0.86,0,0,0,0,1.16,0,0,2.81,62.51,1.06,0,0
 72-82,0,0,0,0,0,1.13,0,2.37,0,0,0.79,0,13.77,10.34,1.09,0,2.45
 84-94,0,0.7,0,0,0,0,0,0,0,7.02,2.16,0,0,31.46,1.84,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.77,0.78,0,37.03,0,0,0
108-118,0,0,0.56,0,0,0,0,0,0,1.14,0,0,1.83,22.98,0,0,0.59
120,0,0,0,0,0,0,0,0,0,13.74,0,0,3.12,1.03,0,0,0
