stage,blastomeres,eye,fin.mesenchyme,glial,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pgc,somites,spinal.cord
  3-4,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0
  5-6,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0
 14-21,0,3.63,0,0,0,0,0,0,0,0,0,0,3.58,0,1.59,0.9,1.05,0.92
 24-34,0,34.97,0,0.66,0,0,0,0,0,0,0,0,9.94,2.91,0,0,0,1.55
 36-46,0,47.01,0,0,0,0,0,0,0.79,0,0,0.57,17.7,0,5.6,0,0,1.26
 48-58,0,40.25,0.56,1.07,0,4.42,0,0,0,0.72,0,0,3.93,6.68,0,0,0,0
 60-70,0,56.02,0,0,0,0,0,0,0,3.47,0,0,12.38,3.8,5.05,0,0,2.04
 72-82,0,62.35,0,0,0,0,0,0,0,0,0,0,4.41,2.2,4.83,0,0,0
 84-94,0,58.94,0,0,0,0,0.83,0,0,1.23,0,0.7,2.18,4.36,1.58,0,0,0
 96-106,0,50.62,0,0.67,0.8,0,0,0.7,0,1.69,5.3,0,5.6,8.68,5.19,0,0,0
108-118,0,44.32,0,1.57,0,0,0.49,0,0,0,0,0,4.32,10.97,1.63,0,0,0
120,0,29.94,0,0,0,0,0,0,0,10.09,0,0,0,5.02,2.57,0,0,0
