stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.09,0.82,0,0.93,0,0,0,0.97,0,0,2.5,0,0,3.43,0,0,2.04,0,0,2.32,549.99,0,0,9.57,0,0,5.82,0,3.94,0,0,2.78,11.71,0,0,0,0,0
 24-34,0,0,16.85,2.16,0,7.13,0,1.53,0.86,1.62,3.49,0,12.24,0.72,0,111.12,0,0,24.45,0,0,6.7,925.27,13.21,62.95,133.1,0,0,28.61,0,0,3.24,0,3,70.48,0,0,13.05,0,2.81
 36-46,0,0,51.05,1.27,0,64.13,12.58,15.73,0,26.21,0,3.33,12.34,0,13.07,95.48,0,1.14,44.53,0,0,59.34,1114.3,15.23,26.99,35.75,0,0,112.84,0,0,12.08,5.57,0,93.43,0,0,39.45,0.78,0
 48-58,0,0,76.06,1.86,0,196.24,5.82,19.58,1.4,44.76,3.71,0.59,65.9,5.12,0,71.91,4.01,0,136.82,1.12,0,107.29,1311.3,51.24,24.98,53.39,0,0,59.64,0,0,5.85,2.82,0,61.2,0,0,41.18,0,0
 60-70,10.41,0,58.52,22.09,0,232.14,2.65,17.62,10.28,136.7,4.88,0.87,311.54,0.61,0,97.7,4.62,6.65,166.76,0,0,62.63,1199.81,14.12,7.56,17.93,0,1.08,90.38,0,0,9.68,5.66,0,40.18,50.38,3.69,38.44,0,11.11
 72-82,16.22,0,65.05,11.05,0,228.07,3.34,17.25,2.37,721.82,8.27,2.92,1243.26,19.03,4.71,255,11.63,0.68,396.27,0,10.3,63.59,2672.65,4,11.67,29.81,0,2.32,26.89,0,0,0.73,0,0,77.32,56.09,4.14,111.81,7.49,6.43
 84-94,1.44,0,78.42,0,0,126.57,0,1.48,2.21,572.48,20.47,5.11,1612.7,4.5,3.26,186.41,6.69,15.57,198.86,6.9,3.03,30.33,1971.75,0,7.52,30.28,0,1.53,27.26,0,0,0,0,0,10.35,294.86,0.98,79.52,1.74,9.62
 96-106,6.97,2.12,181.42,36.44,2.47,154.5,0,3.26,0,685.95,40.78,5.29,3012.93,20.9,0,383.55,14.77,0.68,356.36,6.96,1.72,147.73,2604.51,0,7.19,143.78,0,17.88,44.91,3.82,0,0,0,0,13.36,591.07,2.45,120.45,8.74,29.61
108-118,2.64,2.24,152.31,9.43,4.46,242.36,2.21,11.21,0.53,962.78,20.98,6.68,4007.47,8.48,1.19,208.9,4.51,0,423.26,5.94,0,107.29,2420.33,0.42,7.99,66.43,0,16.4,24.96,0,0,0.43,0,0,14.67,904.64,0,81.12,2.2,0
120,0,0,364.51,25.64,0,163.67,0,16.96,5.84,965.27,25.39,2.63,7207.69,21.97,3.86,345.54,6.71,0,453.45,0,20.18,68.02,2977.67,0,33.47,93.81,0,13.66,13.75,0,0,0,0,0,1.34,325.92,0,140.69,8.85,0
