stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.02,22.82,4.39,0,12.83,0,0,0,2.84,0,0,0,1.66,0,0,0,0.86,6.75,0,0,12.19,93.55,7.58,0,0,2.76,0,0,18.7,0,0,26.37,44.22,0,0,0.83,0,0
 24-34,0,4.44,5.07,1.27,0,14.12,0,0,0,5.99,1.89,0,0,0,0,0,0,1.45,33.2,5.25,0,8.46,200.84,0.61,4.87,6.84,0,0,5.46,1.22,4.39,0,5.53,56.7,0,0,22.33,0,0
 36-46,0,0,2.26,0.57,0,21.98,0,0,1.21,14.1,0,0.6,0.77,2.47,0,0.7,0,1.8,28.07,0,1.72,10.31,182.31,9.19,5.29,1.2,0,0,17.49,0,4.87,0,0,72.38,0,0,1.21,0,0
 48-58,0,0,4.62,0,0,55.2,2.57,0.41,2.13,38.3,0,0.69,0,0.37,0,0,0,4.3,60.66,0.42,0.87,8.25,175.85,0,2.3,0.43,0,0,7.97,0,4.45,0.68,0,34.42,0,2.55,4.25,0,0.52
 60-70,0,0,7.9,0,0,83.14,0.62,2.33,3.53,34.6,5.93,1.18,0,0,0,1.63,3.06,0,80.22,0,1.51,11.4,102.65,6.51,1.22,1.49,0,0,12.01,0,2.34,0,0,12.63,0,7.33,3.52,1.71,8.02
 72-82,0.53,0,8.07,11.21,0,56.11,0,0,1.84,39.73,2.77,0,1.89,0,5.98,0.64,0,0,89.42,2.24,3.72,12.88,130.92,1.03,1.99,7.86,0,0,13.43,0,1.34,0,0,13.63,0,3.67,3.43,5.49,0
 84-94,0,0,6.78,0,0,23.65,0,0,2.05,24.55,2.26,2.31,5.63,0.62,1.32,0,0,0.68,44.72,2.3,0,6.1,50,1.84,0,2.85,0,0,38.74,0,0,0,0,36.83,1.68,4.42,15.79,1.54,0
 96-106,2.03,0,7.88,5.59,0,25.7,0,2.53,6.04,14.6,2.37,3.88,6.1,4.03,1.54,1.02,0,1.06,50.5,0.94,3.46,16.93,50.48,0,2.16,3.76,0,1.45,18.55,0,1.44,0,0,0,0,1.58,9.6,6.64,0
108-118,0.71,0,21.98,0.52,5.92,40.39,0,6.61,5.75,27.17,1.14,0.69,4.21,2.46,2.15,4.26,1.88,2.42,63.8,0,2.94,7.64,83.55,1.99,2.65,4.02,0,0,20.58,0,1.52,0.41,0,1.03,0.47,0,16.29,1.78,1.27
120,0,0,24.2,7.96,0,37.48,0,1.35,3.22,46.7,5.71,0,9.09,1.89,5.74,2.92,0,1.33,83.69,0,0,10.81,74.79,0,0,6.54,0,0,11.98,0,5.94,0,0,1.81,0,0,3.93,2.01,0
