stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0
  5-6,0,146.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.45,18.14,0,5.79,0,0,0,45.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.38,0,0,0,57.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.81,0,27.06,0,11.1,0,139.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.15,79.15,0,0,177.87,0,0,0,16.79,0,0,3.28,0,0,0,0,0
 14-21,0,0,1.05,0,37.88,14.02,0,63.46,0,0.82,0,9.17,3.25,2.4,0,0,0,0,0,0,39.48,0,0,52,582.84,3.77,0.98,5.52,2.73,0,2.91,42.01,0,21.3,212.87,250.09,0,0,4.86,0,0
 24-34,0,0,2.23,0.62,11.72,0,0,117.88,0,1.83,0,8.14,0.64,2,0,0,0,0,0,0.66,49.14,0,0,27,1746.79,2.66,3.35,4.52,0,0,0,0,0.76,1.75,24.23,404.26,0,0,17.54,0,16.61
 36-46,0,0,0,0,11.89,0,0,395.61,0,0,3.02,36.46,1.3,0.57,0.64,0,0,0,0,0,85.39,0,0,25.11,2833.83,0.66,18.77,0,0,0,6.68,0,0,0,0,565.66,0,0,18.29,0,0
 48-58,0.39,0,0,0,6.69,0,0,528.62,2.3,4.87,2.87,47.14,0,0,0,0.46,0,0,0,0,91.45,0,2.05,19.63,1914.29,5.53,11.81,3.08,0,0,0.52,0,0.73,0.68,0,415.08,0,0,5.23,0,1.32
 60-70,0,0,1.51,0,7.62,0,0,957.44,4,0.65,6.11,56.06,12.28,6.84,0,1.02,13.33,0,0,0,111.72,2.41,4.64,15.7,1469.24,0,2.11,8.5,0,1.03,2.65,0,0,0,0,216.09,0.61,1.48,1.64,0,0
 72-82,0,0,1.57,0,7.47,0.62,0,690.72,0,1.23,3.59,41.47,0,0,5.07,0,2.79,1.68,0,3.49,121.86,0,1.54,10.81,951.21,0,14.61,6.05,0,0,0,0,0,0,0,91.41,1.75,3.79,7.77,1.2,0
 84-94,0,0,5.6,0,4.04,0,0,656.86,0.91,0.63,6.33,44.53,5.83,0,1.62,0,3.32,0,2.99,0,138.75,0,5.52,11.8,723.55,0,6.35,8.46,0,0,1.67,0,0,0,0,61.82,5.1,1.08,9.01,4.36,0
 96-106,0,0,8.27,0,8.44,0,0.6,521.32,0.73,0.62,15.46,27.81,3.35,0,4.69,0,1.14,4.79,1.01,0,103.28,0,4.65,4.12,631.94,0,9.84,9.33,0,0.81,1.36,0,0.6,0,0,23.99,2.16,3.37,6.57,2.83,10.65
108-118,0,0,0.93,0,15.88,0,0,486.91,0,4.39,5.46,37.79,2.4,0.8,0,0,3.56,2.84,0,0,101.38,0,0.62,9.09,748.9,0.46,14.05,11.02,0,0,6.37,0,0.42,0,0,55.09,2.51,4.53,2.51,2.24,0
120,0,0,1.37,0,9.75,0,0,434.21,0,0,8.48,54.81,0,0,0,0,0,0,5.24,0,150.07,0,24.41,4.72,1132.56,0,1.15,1.43,0,0,4.44,0,0,0,0,34.87,0,0,2.65,0,0
