stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,129.14,3189.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.93,0,0,0,0,0,0,0,0,0,0
  5-6,299.26,4077.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.83,0,0,0,40.53,0,134.65,0,0,0,0,0,0,0,0,0,0
  7-9,58.7,43.84,0,56.47,0,0,0,55.76,0,0,0,0,0,53.49,0,0,0,0,0,0,0,0,0,0,0,799.79,40.81,0,0,408.5,0,0,14.02,0,0,0,0,0,0,0,0,0
 10-12,0,18.31,0,73.77,0,12.99,0,28.63,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,523.17,77.15,0,0,206.5,0,0,5.95,0,10.45,0,0,0,0,0,0,0
 14-21,0,0,0,2.88,94.2,9.68,0,6.72,0,0,0,3.3,1.29,0,2.29,0,0,0,0.92,0.92,1.05,28.13,0,0,23.11,119.77,10.9,0,1.78,3.69,0,0,1.81,24.14,2.12,21.39,65.7,0,0,1.07,0,1.68
 24-34,0,0,0,0,7.15,0,0,7.25,0,0.75,0.71,4.44,0,0,0,8,0.77,0,0,0,1.19,42.39,0,0.89,22.56,180.69,1.3,4.52,0,0,2.91,0,2.53,0,0,3.22,65.1,0,0,6.2,0,16.64
 36-46,0,0,0,0,6.16,0,0,54.24,0,1.39,7.86,14.23,0.82,0,13.96,24.48,0,0,0,0,0.91,130.59,0,2.02,21.18,595.26,4.75,3.7,6.47,5.14,0,23.35,4.5,0,0,0,131.45,0,0.85,7.37,0,57.38
 48-58,0,0,0,0,3.7,3.09,0,115.18,0,1.28,3.59,11.34,0,0,2.16,38.83,0,0.41,0,0,2.12,96.43,1.01,3.79,11.56,829.28,2,0.37,0.48,0,0,3.97,0,0,0.37,0,98.29,0,0,16.35,0,94.46
 60-70,0,0,0,0,2.25,1.23,0,354.61,1.17,0.81,6.18,84.68,1.02,0,0.76,39.46,0.71,7.55,0,3.27,9.21,192.7,1.53,8.39,15.85,1451.03,1.87,2.6,4.21,0,1.44,3.31,0.85,0,0,0,135.26,0,2.86,21.76,2.67,153.37
 72-82,0,0,2.38,0,10.96,30.57,0,243.17,0,0.5,8.98,132.26,0.73,0,3.4,94.11,0,5.73,0.69,0.96,9.84,254.05,1.13,10.9,12.2,1183.62,0,11.09,2.48,0,0,4.5,0.56,0,4.75,0,128.41,0,4.23,58.87,2.83,92.39
 84-94,0,0,0.7,0,9.55,33.34,0,202.45,0,0.93,3.54,81.63,0,0,2.18,74.98,0,6.91,0,1.78,28.71,195.16,0,15.57,14.88,847.3,0.72,2.53,2.77,0,0.6,4.18,0,0,0,0,50.51,0,5.25,37.5,5.59,106.02
 96-106,0,0,0,0,14.7,75.86,0,208.61,0.78,3.47,4.96,248.03,2.28,0,9.22,112.71,0,6.03,0,1.56,24.27,329.29,2.28,20.68,22.89,747.13,1.33,10.78,4.08,0,22.61,18.54,0,0,0,0,41.56,0,7.32,107.54,9.58,137.34
108-118,0,0,3.13,0.74,39.48,49.47,4.79,176.51,0,8.25,4.8,253.12,0.79,0,10.25,104.39,2.54,18.63,0,0.56,10.23,403.36,0,27.5,19.3,1056.97,1.34,12.88,2.47,0,16.73,11.55,0.9,0,0,0,82.81,2.55,3.65,107.28,10.22,126.97
120,0,0,0,0,43.54,58.71,14.01,116.59,0,3.49,0,213.07,0,0,1.54,130.13,2.58,7.3,0,1.08,2.97,372.45,1.1,22.64,14.1,1142.95,3.58,17.55,0,0,20.02,25.58,0,0,0,0,29.26,0,16.26,128.57,14.34,115.97
