stage,eye,heart,mesenchyme,mural.cell,spinal.cord
 36-46,0,0,0,0,1.53
 48-58,0.8,0,0,0,0
 72-82,0,0,1.27,1.31,0
 96-106,0,0,2.49,1.58,0
108-118,0,0,2.36,0,0
120,0,4.26,5.48,0,0
