stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,2.02,0,0.66,0,0,0,0,0
 36-46,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,10.57,0,0,0,0,0,0,0
 48-58,0,0,0,3.82,5.4,0,0.95,0.44,0,0,0,0,0,0,1.1,0,0,0.79,5.99,0,0,0,212.61,0,1.33,0,0,0,0,4.08
 60-70,0.6,0,0,11.29,4.37,0,3.13,0,0,3.87,0,0,0,0,8.89,0,0.62,0,12.59,0,0,0,768.42,0,6.3,0,0,0,0,0
 72-82,13.01,4.65,0,12.52,21.38,0,1.78,0,0,5.84,0,0,0,0,5.18,1.68,0,1.17,35.49,0.76,0.98,0.56,1322.86,0,1.17,0.5,1.32,0,0,4.46
 84-94,16.11,9.33,0,7.45,48.25,0,1.73,0,0,17.01,0,0,0,0,5.56,7.82,0,0,9.14,0,0,0,2885.03,0,0,0,0,0,0,0
 96-106,47.9,17.25,0,71.08,138.19,0,4.49,2.22,4.82,44.79,7.37,0,10.14,0.67,19.87,24.45,0,1.95,74.81,0,0,1.3,3610.33,0,0,1.64,1.82,10.35,0,9.01
108-118,53.15,6.83,0.5,23.57,105.86,1.37,6.58,1.09,0,40.56,0,0,1.6,0,8.09,35.65,0,0.7,63.14,0,0,0,2909.94,0.42,1.77,1.25,0,0,2,7.41
120,44.18,4.15,0,7.36,108.69,0,2.23,3.28,0,21.32,0,2.64,0,0,21.93,24.84,8.33,1.86,48.71,0,0,0,1451.96,0,0,0,0,0,0,0
