stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,49.38,920.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.67,0,0,0,0,0,0,0
  5-6,99.45,1077.22,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.07,10.41,0,0,42.65,0,25.81,0,0,0,0,0,0,0
  7-9,17.39,41.01,57.06,0,0,146.12,0,0,0,19.77,0,0,0,0,0,0,0,0,1284.54,22.63,0,0,496.91,0,3.63,4.58,0,0,0,0,0,0
 10-12,0,28.47,52.63,0,0,187.79,0,0,0,7.63,0,0,0,0,0,0,0,0,1130.39,18.86,0,0,470.94,0,0,0,0,51.62,0,0,0,0
 14-21,0,0,1.04,14.72,1.08,7.16,0,1.92,0.82,0,1.22,0,0,0,0,0,4.81,7.02,117.71,1.29,0,0.82,0,0,0,0,20.16,1.01,9.56,22.51,0,0
 24-34,0,0,2.57,0.93,0,11.5,0,2.66,0.85,0,0,0,0,0,0.72,0,12.9,2.85,174.35,0.62,2.51,4.13,0,0,2.99,0,0,0,0,45.19,2.95,0
 36-46,0,0,0,1.45,0,30.2,0,4.1,0,0,0,0,0.66,0,0,0,8.44,0,139.5,0,0,0,0,0,0,0,0,0,0,13.62,6.6,0
 48-58,0,0,0,1.27,0,34.27,0.55,5.72,0,0,0,0,0,0,0,0,4.34,0.95,87.28,0,0,0.46,0,0,7.36,0,0,0,0,9.67,1.42,0
 60-70,0,0,0,4.02,0,24.58,0,0.63,0,0,0,0,0,0,0,0,19.96,0.81,90.44,0,0,0,0,0,5.88,0,0,0,0,8.92,2.55,0
 72-82,0,0,0,0,0,5.13,0,3.68,0,0,0,0,0,0,0,0,5.96,0,48.36,0,1.28,0,0,0.71,0,0,0,0,0,3.52,0,0
 84-94,0,0,0,2.57,0,10.78,0,12.49,0,0,0.79,0,1.68,0,0,0,3.95,1.37,33.66,1.33,0,1.44,0,0,2.17,0,0,0,0,19.75,2.16,0
 96-106,0,0,0,1.99,11.36,20.11,0,1.99,0.77,0,0,0.74,0.86,0,0,0,9.72,8.1,25.5,0,0,2.28,0,0,0.73,0,0,0,0,0,0.85,0
108-118,0,0,0,0.63,0,6.45,0,1.47,0.64,0,0.69,0.76,0,0,0,4.79,8.29,3.35,44.91,0.67,2.23,1.1,0,0,0,0,0,0,0,2.72,2.83,0.92
120,0,0,0,0,1.25,14.06,0,0,0,0,0,0,0,3.01,0,0,1.99,2.54,51.98,0,0,0,0,0,0,0,0,0,0,0,0,0
