stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,4.25,0.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.77,0,0,0,0,0,10.16,0,9.12,0,0,0,0,0,0,0,0.71,0
 36-46,7.62,0,0,0,0,0,0,2.01,1.91,0,0,0,0,38.79,11.33,13.13,19.31,0,0,0,0,0,0,0,0
 48-58,7.27,0,1.1,0.41,2.76,0,0,0,16.16,0,0,0.4,0,50.17,5.41,10.44,8.72,0,0,0,0.81,0,2.19,0,0
 60-70,1.85,0,0,4.67,4.39,0,0,0.77,5.51,7.23,0,0,0,58,28.98,9.53,4.22,1.63,5.87,0,0,0,9.56,0,3.68
 72-82,0,6.65,1.56,6.12,3.57,1.31,0.6,3.43,11.19,0,0,0,0,56.07,14.18,8.78,10.9,1.32,1.42,0.58,0.63,0,5.77,0,11.18
 84-94,1.76,3.44,1.45,0,6.8,0,1.91,8.11,17.11,1.2,2.79,0,0,90.4,20.34,10.22,1.7,0,8.83,1.31,3.49,0,12.54,0,14.43
 96-106,0,8.17,4.45,0,16.33,1.45,2.83,4.83,32.63,0.69,1.11,0,3.85,128.58,29.73,6.55,58.14,0,27.21,0.56,0,0,12.84,2.28,28.61
108-118,5.29,0,4.32,0,22.56,0,1.2,3.71,17.73,0.89,0.81,0.43,0,111.61,19.53,21.72,33.73,1.72,24.57,2.14,0,0.84,2.82,0.5,27.46
120,4.73,0,0,0,0,0,4.26,0,33.7,1.06,0,0,0,87.87,20.56,20.91,4.18,0,10.72,0,0,0,15.29,1.72,33.42
