stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,52.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.33,7.69,0,0,21.1,0,0,9.21,0,0,0,0,0,60.71,5.97,0,22.42,0,0,0,0,0,0
 10-12,5.28,10.13,0,0,7.21,0,0,0,0,0,0,0,0,36.27,0,0,11.08,0,0,0,0,0,0
 14-21,0,0.87,0.98,0.99,1.31,0,2.38,0,0,0,2,0,2.54,26.09,0,0,1.28,0,1.13,1.86,8.96,0,0
 24-34,0,0,0.64,0,2.52,0,0,0,0,0,0.95,0,0,37.99,0,0,0,0.75,0,0,5.91,0,0
 36-46,0,0,0,0,3.1,0,0,0,0,0,0.72,0,0.57,9.75,0,0,0,1.86,0,0,6.07,0,0
 48-58,0,0,0,0,2.87,0,10.56,0,0,0,0.48,0,0.47,11.79,0,0,0,0,0,0,3.25,0,0
 60-70,0,0,2.85,0,3.47,0.81,0.57,0,0,0,0.92,0,0,11.52,0,0,0,4.45,0,0,0,0,0
 72-82,0,0,0,0,5.12,1.16,0.82,0,0,0,3.11,1.84,3.06,11.86,0,0,0,0.9,0,0,0,4.44,6.79
 84-94,0,0,6.31,0,0.71,0,0,0,0.62,0,2.29,0,0,13.92,0,0,0,0,0,0,9.43,0,0
 96-106,0,0,0,0,0.94,0,0.8,0,0,0,5.25,0,0,9.74,0,0,0,1.4,0,0,0,0,0
108-118,0,0,0.84,0,4.53,0,0,0,0,3.2,10.44,0,0,11.63,0,0.57,0,0,0,0,0,0,0
120,0,0,0,0,9.15,0,1.91,0,0,0,0,0,10.02,5.96,0,0,0,0,0,0,0,0,0
