stage,blastomeres,endoderm,epidermis,erythrocytes,eye,heart,immune,ionocyte,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.84,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.2,10.11,0,0,3.89,0,0
 10-12,0,0,0,0,3.21,0,0,0,0,0,0,0,3.93,3.07,0,0
 14-21,0,0,2.15,3.72,0,0,0,0,4.46,1.19,0,0,0,0.86,1.02,4.37
 24-34,0,0.64,0,2.05,0,0,0,0,0,4.05,0,0,0,0,0,20.11
 36-46,0,0,0,0,1.66,2.4,0,0,5.57,0,0,0,0,3.63,0,4.46
 48-58,0,0,0,0,0.7,0,0,0,4.96,4.31,0,0,0,0.56,0,6.17
 60-70,0,0,0,0,9.3,2.77,1.8,0,2.1,9.43,0,0,0,0,0,5.13
 72-82,0,0,0,0,6.88,0,0.93,0,0,8.67,0,0,0,0,1.72,2.81
 84-94,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.48
 96-106,0,0,2.69,0,2.83,3.1,4.34,0,2.01,0,0,0,0,5.66,0,0.87
108-118,0,0,0,0,6.29,0,9.33,0.93,0,4.51,0,0.71,0,0.49,0,1.41
120,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0
