stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,147.74,3053.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.24,0,0,0,0,0,0,0,0,0,0
  5-6,133.17,1446.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.63,0,0,0,0,0,63.95,0,0,0,0,0,0,0,0,0,0
  7-9,6.69,138.52,0,87.5,0,0,0,193.22,0,0,0,0,0,28.14,0,0,0,0,0,0,0,0,0,0,0,2391.15,52.63,0,0,3330.32,0,8.26,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,500.61,0,956.31,0,47.5,0,448.57,0,0,0,0,0,56.62,0,0,0,0,0,14.93,0,0,0,0,3.87,15533.38,180.35,0,0,6699.3,0,0,41.65,111.23,842.06,0,107.78,82.27,0,0,0,0
 14-21,0,0,4.7,724.71,6552.1,230.04,0,2083.6,0,3.17,0,928.26,268.19,11.72,34,7.95,53.76,6.45,16.03,46.67,21.3,1908.81,5.92,0,2098.62,41122.44,128.05,1.82,582.9,45.53,0,119.97,8.12,379.58,171.79,103.77,3246.66,13818.73,0,18.9,0,14.96
 24-34,1.76,0,0.66,238.3,1008.39,24.9,0,703.7,0,1.57,0.61,709.55,40.68,11.05,81.36,7.23,4.98,6.8,27.7,43.54,12.53,1726.08,5.65,3.25,1045.57,25439.86,162.6,13.33,241.66,0,7.55,86.57,0,0,29.01,32.67,209.28,10216.79,0,83.41,0,3.89
 36-46,0,0,1.4,16.87,117.6,4.14,0,116.3,0.82,6.47,3.25,316.72,9.76,0,50.21,0.71,0,5.2,1.58,15.25,1.74,614.17,0,19.57,225.46,3774.34,39.42,2.12,49.91,0,5.7,31.69,1.98,0,8.53,17.02,2.3,3208.64,0.85,28.06,0,7.96
 48-58,0,0,0,0.42,34.08,0.45,0,50,3.47,0,10.92,84.35,1.29,0,6.75,0,0,0,0.39,1.21,0,164.49,1.73,3.36,52.65,343.75,6.82,0,17.88,0,0,9.78,0,0,0,1.52,0,371.36,0,2.59,0,0
 60-70,0,0,0.95,0,2.4,0,0,56.21,0,0,6.32,111.91,1.96,0,0,0,0,0,0,0,0,121.16,0,6.24,18.97,133.7,0,0,15.91,0,1.92,3.14,0,0,7.9,0,0,55.91,6.74,0.99,0,0
 72-82,0,0,0,0,2.5,5.67,1.52,39.23,0,0,11.88,56.75,0,0,0,0,0,2.4,1.36,0.79,0,78.39,0,2.02,20,43.2,0,0,23.82,0,0,0,0,0,0,0,0,10.76,0,0.71,0.71,0
 84-94,0,0,0,0,0.88,0,0,31.17,0,0,0,80.5,0.71,0,3.53,0,0,0,1.91,0,0,60.98,0,0.94,14.4,38.77,4.93,0,17.91,0,0,0.92,0,0,0,0.55,0,20.29,0,0,1.09,0
 96-106,0,0,0,0,0.57,19.83,0,20.89,0,0,4.31,55.86,0.79,0,0,0,0,0,0,12.58,0,65.14,0,0.58,5.59,9.79,0,0,11.49,0,0,1.71,0,0,0,0,0,14.13,0,0.64,2.61,0
108-118,0,0,0.57,0,0.42,0,0,20.88,0,1.06,8.28,68.36,0.67,0,0,0,0,1.37,0.72,1.26,0,49.53,0,1.5,8.08,28.46,0,0,9.83,0,0,0,0,0,0.72,0,0,24.17,3.62,0,0,0.99
120,0,0,0,0,1.66,0,0,24.37,0,0,1.58,55.64,1.66,0,0,0,0,0,0,0,0,59.16,0,0,6.7,65.96,0,0,16.87,0,0,5.41,0,0,1.83,0,0,4.48,0,0,0,0
