stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,27.35,221.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,20.17,156.71,0,0,0,0,0,0,16.22,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,12.21,0,13.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88,0,4,0,0,0,0,0,0,0
 14-21,0,0,5.13,2.24,0,0,0,2.84,0,0,0,0,1.89,0,0,2.73,0.82,0,0,0.88,21.03,1.65,1.75,2.73,0
 24-34,0,0,0,0,0,0,0,8.74,0,0,0.95,0.69,1.11,0,1.12,14.58,0,0,0,0,8.97,0,0.74,0.97,0.84
 36-46,0,0,0,0,0.68,0,0,6.89,0,0,0,0,7.35,0,0.93,11.28,0.89,0,0,0,14.76,0,0,5.26,0
 48-58,0,0,0,0,1.08,1.27,2.11,0.99,0,0,0,2.96,4.6,0,0.46,4.87,0,0,0,0,6.75,0,0,1.68,0
 60-70,0,0,0,0,2.25,0,1.64,0,0,0.83,0,0,0.66,0,0.59,10.48,2.42,0,0,0,8.14,0,0,3.28,0
 72-82,0,0,0,0,0,0,0.57,0,0,1.62,0,0,4.13,1.4,0,16.53,0,0,0,0,5.41,0,0,0,0
 84-94,0,0,0,1.4,8.48,0,0.96,0,0,0,0,0,0,1.32,0,7.92,0,0,0.96,0,1.37,0,0,4.59,0.58
 96-106,0,0,0,0,2.35,0,0.83,0,0,3.3,1.93,0,5.81,0,0,19.37,2.63,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,3.31,0,3.46,0,0,7.5,0,0,4.75,0,0,13.49,0,0,0,0,1.92,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.37,0,0,12.78,0,0,47.53,0,0,0,0,0,0,0,0,0
