stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.76,0,4.38,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0
 14-21,0,0,0,0,0,0,0,0.9,0,0,0,4.75,0,0
 24-34,0,0,0,0,0,0,6.78,2.91,8.63,0,0,0.61,0,0.78
 36-46,0,0,0.96,0,0,0,5.74,1.99,4.29,0,0,0,0,2.22
 48-58,0,0,0,0.39,0,1.02,3.23,0,5.06,0,0,0,0,0.38
 60-70,0,0,3.34,0,0,1.72,7.41,1.23,6.32,0,0,0,0,0
 72-82,0,1.05,5.43,0,1.36,0,3.36,1.24,4.56,0.9,0,0,0,0
 84-94,0,0,0,0,0,0,10.4,0.84,0,0,0,0,0,0
 96-106,0,0.56,2.04,0,0,0,5.28,0.96,8.37,0,0,0,0,0
108-118,0,2.56,0,3.18,0,0,2.12,0,4.86,0,0,0,0,0
120,0,2.88,0,0,0,0,6.41,0,0,0,0,0,0,0
