stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,31.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.82,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.39,0,0,0,16.88,0,4.95,0,0,0.54,22.33,0.59,0,0,0,0,0,0.93,0,0,0,0,0
 60-70,0,0,10.41,0,0,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.95,0,8.13,1.04,0,0.91,3.31,3.36,0.66,2.19,11.31,47.8,1.8,0,0,0.54,0,0,0,0.61,1.57,1.29,1.12,0
 84-94,0,0.64,0,0,0,0,1.71,0,0,0,0,0,38.21,0,0,0,0,0,4.14,0.91,0,0,0,0,0
 96-106,0,0,9.71,0,0,0,0,4.4,2.15,0,0,2.99,57.48,0,0,0,1.19,0,0,1.45,0,0,0,0,0
108-118,0,2.15,0,0.88,0,0.69,2.74,5.41,0,0,3.21,4.75,34.76,2.01,0,0,0,0,0,0,0,0,0,0,9.15
120,0,2.37,0,0,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
