stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.7,2.44,1.03,0.84,0,2.29,0,0,4.09,0,0,0,0,0,0,0,1.34,0,0,0,58.28,0,0,7.86,0,0,1.17,0,0,53.22,0,0,0,0,0
 24-34,1.32,0,1.28,2.05,0,13.43,0,0,1.05,0,0,0,0,0,0,0,4.32,0,0,1.74,593,23.52,1.32,0,0,0,0,0,0.78,203.11,0,0,1.83,0,0
 36-46,1.4,0,2.15,0,0,166.87,0,0.71,11.31,0,0,0,0,0,0,3.92,5.67,0,0,2.17,1669.57,29.26,1.46,0,0,1.73,0,1.06,0.66,356.52,0,0,0.92,0,1.74
 48-58,0,0,1.36,0,0,457.45,5.07,0.4,41.12,0,0,0,0,0,3.7,0,19.54,0,0,0.99,2122.78,15.37,0.42,0,0,1.61,0,0,0,386.02,0,0,0.9,0,0.48
 60-70,0,0,10.79,3.52,0,1459.23,0,0,20.33,0,0,0.59,0,0.64,0,0,22.9,0,0,3.55,3062.41,24.97,0,0,1.08,14.78,0,0,0,439.57,0,0.57,5.11,0,0
 72-82,1.92,0,9.77,0,0,1465.12,0,1.83,46.33,2.94,0,0,0,1.33,0,8.68,41.74,0,1.54,1.35,2191.15,27.07,3.36,0,0,0,0,0.73,0,280.56,1.89,0.73,16.13,1.15,14.92
 84-94,2.25,0,6.84,9.09,0,993.7,0,0,35.11,0.84,3.91,0,0,0,8.52,0,36.43,1.71,0.86,9.48,1255.94,14.9,9.49,0,0,0,0,0.73,0,204.65,1.55,0.84,1.59,0.62,4.41
 96-106,0,0,17.18,12.47,3.52,872.78,0,0,33.29,0,0,0,0,2.24,0,0,38.85,0.71,0,0,1158.72,19.42,4.8,0,0,1.68,0,0,0,94.77,0,1.44,0,0,9.32
108-118,3.38,0,16.13,3.26,1.73,760.96,0,1.17,36.26,0,0,0,0,0.64,4.63,0,20.71,0,0,2.02,1234.44,11.66,4.34,0,0,7.69,0,0,0,53.65,6.35,0,6.21,1.03,0
120,0,0,5.12,0,0,770.27,0,19.12,20.83,6.13,0,6.91,6.33,1.15,0,1.61,66.14,0,0,2.54,1693.8,3.09,7.34,0,0,9.11,0,0,0,97.96,0,0,28.51,0,0
