stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,204.27,2838.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.17,0,0,0,0,0,0,0,0
  5-6,70.8,1195.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,8.9,0,0,0,20.87,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.61,0,5.38,0,0,0,0,17.15,0,0,0,0,0,0,0,0,79.77,0,0,45.24,0,10.97,34.99,0,0,0,0,0,0,0
 10-12,0,3.34,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78,0,0,4.4,0,7.53,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.8,0.9,0,0,0,0,0,0,1.84,0,0,0,0,0,13.23,6.62,0,0,0,0,83.94,2.71,0.87,0,3.03,3.65,0,0,0
 24-34,0,0,1.51,0,3.8,0,0,0,0,0,0,0,0,0.97,0,1.71,0,0,0,3.14,0,2.74,0,0,92.89,0,0,0,0,0.89,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,75.76,0,0,0,0,1.16,0,0,0
 48-58,0,0,0,0,0.38,1.52,0,1.2,0,0,0,0,0,0,0,2.01,0,0,0,16.76,0,0,0,0,63.45,0,0,0,0,3.33,0,0,1.19
 60-70,0,0,0,0,7.45,13.59,0,0,0,0.85,0,0,0.73,0,0,1.31,0,0,0,6.9,0,1.29,0,0,40.85,0,0,0,0,1.74,0,0,0
 72-82,0,0,0,0,4.68,3.88,0.92,0,0,2.74,0,0,0.54,0.63,0,1.57,0.74,1.19,0.71,12.73,0,1.21,0,0,23.74,0,0,0,0,0,0,1.1,0
 84-94,0,0,0,0,3.47,0.6,0.6,0,1.13,6.3,0,0,1.54,0,0,0,0,0,0,6.22,0,0,0,0,94.06,0,0,0,0,0,0.96,0,0
 96-106,0,0,0.74,0,17.49,10.32,0.9,0,0,3.84,0,0,3.28,0,0,1.82,4.07,0,0,11.5,0,4.66,0,0,83.14,0,0,0.7,0,0,0,0,0
108-118,0,0,0,0,8.16,1.54,3.56,0,3.81,7.04,0,0,2.19,0,0.52,0,0.53,0,0,16.22,0,0,0,0,65.2,0,0,0,0,0,0.68,0,0
120,0,0,0,0,17.09,0,0,0,0,5.03,5.2,10.09,6.91,0,0,5.09,0,0,0,25.59,0,5.12,0,9.21,47.69,0,0,0,0,0,1.63,0,0
