stage,blastomeres,neural,otic,somites
  3-4,72.41,0,0,0
  5-6,10.59,0,0,0
 10-12,0,20.95,0,0
 24-34,0,0.76,0,0.65
 36-46,0,0,0.75,0
 48-58,0,0.87,0,0
