stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,ionocyte,liver,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  5-6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.93,0,6.47,0,0,0,0,0,0,0,20.01,12.4,0,0,0
 10-12,0,0,6.72,0,0,5.9,0,0,0,0,0,10.11,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.97,0,2.32,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.59,0,7.98,0,0.92
 60-70,0,0,2.86,0,0,0,0,0,0.87,0,1.01,0,24.44,0,0
 72-82,0,1.64,0.78,0,1.29,0,0,0,0,0,0,0,16.75,0,0
 84-94,0,5.71,0,0,0,0,0,0,1.57,0,0,0,69.29,0,0
 96-106,0,2.14,0,3.41,0.57,0,9.94,0,0,0,0,0,102.63,0,0
108-118,0,14.55,0,2.45,1.4,0,1.65,0,0.91,0.42,3.8,0,111.06,0,0
120,0,3.31,0,1.38,0,0,0,0,0,1.1,4.72,0,131.72,0,0
