stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,immune,lateral.line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,10.15,1.15,9.63,0,0,0,0,2.18,10.47,1.42,6.27,3.14,0.84,0,0.9,3.5,35.09,0,0
 24-34,0,0,2.56,1.26,11.88,0,0,0.79,0,0.81,10.6,0,12.07,6.45,0,0,0,4.74,35.37,0,0
 36-46,0,0,0,0,2.21,0,0,1.84,0,0.56,45.14,0,12.81,1.63,0,0,0,1.16,16.95,0,0
 48-58,0,0,0,2.84,13.34,0,0,1.82,1.28,0,11.58,0,5.97,1.4,0,0,0,0.95,4.43,0,0
 60-70,0,0,3.36,0,7.58,0,0,0,0,5.68,12.08,0,12.06,9.92,0,0,0,2.04,11.03,0,0
 72-82,0,0.62,0.69,0,1.53,2.6,0,1,0,0.76,4.47,0,8.66,5.71,0,0,0,0,1.99,0.68,0
 84-94,0,0,2.5,0,1.67,0,0,4.79,0,0,0,0,9.65,7.77,0,0,0,0.67,13.54,0,0.94
 96-106,0,0,1.07,0,7.13,0,0,9.45,0,1.27,7.19,0,14.71,11.67,0,0.66,0,1.05,5.79,0,0
108-118,0,1.11,0,0.51,2.12,7.79,0,2.54,0,3.57,4.84,0,9.97,20.03,0,0,0,0,4.66,1.88,0
120,0,3.73,0,3.56,3.27,0,1.66,7.53,0,0,8.87,0,16.59,5.31,0,0,0,0,0,0,0
