stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,27.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,8.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0.81,0,0,0,0,3.93,0,0
 24-34,0,0,2.69,0,0,3.11,0,0,0.9,0,0,1.6,0,0.6,0,0,7.1,0,1.71,58.61,0,1.18,0.72,0,2.03,1.09,0,0.59,18.96,0,1.2
 36-46,0,0,0,0,0,17.32,0,0.79,0,0,0,0,0,0.95,0,1.58,0,0,0,74.37,0,0,0,0,8.19,3.52,0,1.09,3.15,0,0
 48-58,0,0,3.56,0,0,7.63,1.96,0,0.8,0,0,0,4.49,0,0,0,0.78,0,1.18,52.04,5.42,0,0,0,2.46,0,0,0,1.17,0,0
 60-70,0,0,3.92,0,0,29.63,0,0,9.03,0,0,0,0,0,0,0,3.06,0,1.38,46.09,0,0,0.62,0,0.82,3.67,3.94,0,1.02,0,0
 72-82,0,0,2.56,0,0,12.09,0,0,0,0,0,0,0,1.48,0.5,0,0,0,0,26.68,0,0,0,0,3.67,0,0,0,1.19,0,0.55
 84-94,0,0,0.81,0,2.83,18.68,0,0,2.76,6.46,0,1.2,0,0,0,0,8.21,0,0.77,26.85,0,0,0,0,0,1.93,1.25,0,0,1.8,0
 96-106,0,0,0,0,0,0.68,1.45,0,0,0.64,0,0,0,0,0,0,0,0,0.72,3.28,0,0.97,0,0,0,0,0,0,0,0,0
108-118,0,0,0.79,0,0,23.46,0,0,1.29,0,0,0,0,0,0.45,0,2.36,2.24,2.4,11.69,0,0,0,0,0.93,0,0.44,0,0,0,0
120,0,0,3.88,1.95,0,11.1,0,0,0,0,1.91,0,0,0,1.45,0,0,0,1.44,18.77,0,1.32,0,0,9.75,0,0,0,0,0,0
