stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,0,35.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.19,262.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.66,0,3.44,0,0,0,8.92,0,0,0,0,0,108.46,0,27.05,0,0,0,0
 10-12,0,0,0,7.87,0,0,0,4.26,0,0,0,0,0,68.56,0,18.66,0,0,0,0
 14-21,0,0,3.35,1.8,0,0,0,0,0,2.95,0,0,0,10.79,0,0,0,0,1.27,0
 24-34,0,0,0,0,0,0,0,0,0,1.32,1.29,0,0,22.48,0,0,0,0.64,1.43,0
 36-46,0,0,0,2.25,0,0,0,0,0,4.66,0,0,0,35.46,0,0,0,0,1.17,0
 48-58,0,0,0,9.3,0,0,0,0,0,0,0,0,0,85.35,0,0,0,0,3.61,0.98
 60-70,0,0,0,6.46,0,0,0,0,0.6,0,0,2.4,0,91.15,0,0,0,0,2.93,0.79
 72-82,0,0,1.24,36.75,0,0,2.01,0,0,0,0,0,0,178.23,0,0,0,0,3.97,0
 84-94,0,0,0,15.87,0,0,0,0,0,0,0,1.79,0,104.79,0,0,1.66,1.3,1.98,0
 96-106,0,0,0.65,6.36,0,1.95,0,0,1.5,2.51,0,2.21,0,19.49,0,0,5.94,0,0,0
108-118,0,0,0,18.8,0,0,2.19,0,0,0.45,0,0.55,0,73.82,1.69,0,0,0,0,0
120,0,0,0,0,1.31,4.45,0,0,9.81,0,0,0,1.04,75.23,0,0,26.94,0,0,0
