stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,73.86,8.71,0,19.07,0,0
 14-21,0,0,0,0,0,0,0.93,0,0,8.61,0,0,0,1.13,0
 24-34,0,0.68,0,2.02,0,0,0,0,0.64,28.67,0,0.67,0,4.02,0
 36-46,0,0,0,4.54,0,0,1.52,0,0,32.58,0,0,0,3.09,0
 48-58,0,0.47,0,17.25,3.04,0,0.86,0,0,77.66,0,0,0,4.92,0
 60-70,0,0.57,0,24.13,2.32,0,1.84,0,0,40.28,0,0,0,8.61,0
 72-82,0,1,0,9.16,1.48,0,0.82,2.8,0,30.95,0,0,0,0,0.93
 84-94,0,0,0,15.79,0,0,0.77,0,0,34.17,0,0,0,3.1,0
 96-106,0,0,0,0.7,5.84,0.78,0,0,0,24.08,0,0,0,0,0
108-118,0,0,0.41,7.12,0,0,2.26,0,0,27.83,0,0,0,0,0
120,0,0,0,10.07,17.42,0,0,0,0,34.64,0,2.8,0,26.77,0
