stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0.93,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,12.79,9.72,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,42.66,0,0,0,0,0,4.76,0,0,0,0,0
 48-58,0,7.77,0,0,4.16,0,0,0,0,0,0.91,0,0,0.44,0.63,0.41,0,0.91,0,0,0,13.35,0,55.88,0,4,0,0,0,0,0,0,0,0,0
 60-70,0,108.59,0,0,1.01,0,0,0,0,1.46,0,0,0,0,0,20.87,0,0,3.31,0.61,0,6.85,0,64.09,0,12.57,0,0,0,0,20.41,0,0,0,0
 72-82,0,524.01,5.18,0,31.16,0,0,0.56,4.97,77.05,0.99,0.87,5.65,5.49,2.56,42.28,0.5,0,14.38,0.78,1.91,97.49,0,123.85,2.92,24.63,0,0,0,0,371.17,0,6.68,4.04,0
 84-94,0,1814.24,4.46,0,61.64,0,9.34,0,11.05,285.36,0,0,1.8,133.03,0,192.99,0.68,0,23.99,1.49,4.08,88.62,0,427.95,0,176.72,0.94,0,0,5.33,1217.24,0,0,0,2.04
 96-106,1.78,4555.61,51.41,16.42,138.8,2.37,9.6,0,35.7,830.26,0,1.72,15.56,253.91,1.63,157.9,7.39,0,44.68,12.2,7.09,243.44,2.3,655.62,6.18,107.46,0,4.11,0,10.35,3579.84,2.9,15.44,7.05,1.91
108-118,1.15,4778.78,15.45,8.38,92.94,2.01,22.87,3.94,36.49,1098.96,0,0,0.59,519.42,1.17,207.03,5.42,0.44,61.32,1.74,4.56,178.72,0.62,411.69,2.47,140.68,0,0.5,0,4.19,4161.16,4.18,3.02,2.14,10.31
120,0,3444.31,0,0,37.11,0,2,1.44,32.2,303.97,5.2,0,6.91,246.68,2.6,204.4,0,0,41.64,19.62,1.9,123.03,8.4,213.99,5.75,261.51,0,0,0,32.07,1690.62,4.12,2.96,0,33.1
