stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,76.31,1406.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.26,0,0,0,0,0,0,0,0,0
  5-6,77.56,663.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0
  7-9,11.48,0,0,3.67,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.28,3.38,0,0,18.22,55.92,11.41,0,0,0,0,0,0,0,0
 10-12,0,5.11,0,42.57,0,5.97,0,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.82,10.22,0,0,20.14,68.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.68,1.1,22.34,48.57,0,0,0,0,0,0,1.92,5.06,1.63,0.97,1.22,0,0,4.33,12.46,0,0,0,7.17,0,0,0,0,166.05,0,1.15,12.73,0,1.69,6.88,0,0,0
 24-34,0,0,2.95,0.62,13.39,42.79,0,0.79,0,2.67,0,0,2.05,11.68,4.35,0.71,6.31,0,0,8.13,6,0,0,2.17,21.19,0,2.57,0,0,244.64,0,0,8.97,0,0,9.68,0,0,0
 36-46,0,0,1.96,0,11.63,2.35,0,1.18,0,12.01,0,2.07,0,3.92,1.67,4.28,7.64,0,2.76,6.28,2.77,1.97,0,0.73,38.62,0,0,0.66,0,223.78,0,0,2.83,0,0,1.89,0,0,0
 48-58,0,0,0,0,15.36,3.52,0,6.49,0,0.4,0,1.12,0.77,5.67,0,7.05,12.2,0,0,0,1.57,2.4,0,1.3,41.57,0,0.47,0.51,0,183.94,0,0,0,1.93,0,5.47,0,0,1.69
 60-70,0,0,0,0,40.71,0.66,0,12.03,0.89,9.76,0,0.92,2.44,0,0,13.12,8.71,1.16,0,0,6.05,0.79,0,0,19.06,0,1.42,1.03,0,272.91,0,0,3.28,0,0,2.36,0,0.67,0
 72-82,0,0,2.21,0,24.49,1.08,1.86,17.3,0,2.95,3.99,2.25,12,3.98,0.53,5.15,13.48,0,1.63,0,4.65,3.88,1.04,0,44.93,0,0.75,0.79,0,169.59,0,0,2.24,0,0,3.32,2.72,0,4.89
 84-94,0,0,0.73,0,41.53,27.25,1.17,5.77,0,5.41,0.87,0,25.38,4.59,0,15.04,14.32,0.62,2.44,0.59,8.58,9.86,0,0.71,53.93,0,4,0.7,0,460.28,0,0,2.93,0.62,0,0,4.69,0,1.8
 96-106,0,0,7.17,0,50.9,24.22,4.66,7.04,1.42,7.33,0,3.11,36.33,0,0.78,18.8,27.3,0,4.43,0,3.08,3.94,1.41,0,60.75,0,1.27,0.57,0,353.6,0,0,3.05,0,0,0,14.03,0,16.68
108-118,0,0,3.76,0,76,2.18,2.22,7.9,0,8.77,0,2,29.67,0,0,13.48,25.65,0,3.47,7.84,2.06,15.48,0,0,13.7,3.02,0,0.58,0,326.99,0,0,3.9,0.5,0,0,11.58,0,4.93
120,0,0,3.01,0,96.04,15.73,0,8.94,0,18.92,0,8.03,61.55,0,0,37.69,44.05,5.74,1.77,0,30.07,5.07,0,1.25,23.64,5.19,11.41,0,0,282.97,0,0,0,0,0,3.5,30.57,0,14.6
