stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,xanthophores
  3-4,59.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.77,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,0,0,0,1.89,1.16,1.23,0,0,0
 24-34,0,0,0,0,2.7,0,0,0,1.26,0,0,3.24,0,0,0,3.46,0
 36-46,0,0,0,0,4.24,0,0,0,0,0,0,4.04,0,0,0,1.28,3.36
 48-58,0,0,0,0,7.2,0,0,0,0.44,0,0,11.9,0,0,5.3,0.66,0
 60-70,0,0.99,0,0,3.86,1.65,0,0,5.33,2.73,0,10.11,0,0,0,2.91,0
 72-82,0,0,0,0.76,6.53,0,0.5,0,1.03,0,0,7.92,0,0,1.79,3.51,0
 84-94,0,1.98,0,0,7.15,0,0,0,0,0,0.6,0,0,0,2.47,0,0
 96-106,0,0,0,0,0,0,0.73,1.37,1.5,0,0,0,0,0,8.6,0,0
108-118,0,3.2,0,0,0,0.77,0,0,0,0,0,1.06,0,0,20.02,1.46,0
120,0,0,0,0,2.78,0,0,0,0,0,0,15.21,0,0,22.72,0,0
