stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.72,79.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,105.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,9.2,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,4.72,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,49.82,0,0,17.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.68,0,0,22.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.59,0,0,15.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,10.96,1.8,0,0,2.34,2.96,0,0,0,0,1.33,0.86,1.09,2.11,0,0,0,0
 24-34,0,0,0,0,0,0.59,0,0,0,0.7,0,0,0,0,0,0.7,0,178.56,0.63,0,0,0.59,25.38,0,0,0,0,0,0,3.07,2.12,0,0,0,8.28
 36-46,0,0,0,0,0,3.64,1.69,0,0,0,0,0,0.9,0,0,0.71,0,958.99,3.36,0,0,0,16.61,0,0,0,0,0,4.85,0,3.99,0,1.76,0,95.28
 48-58,0,0,0,0,0,16.97,0,0,0,0.44,0,0,0,0,0,7.05,0,657.5,2.41,0,0,0,27.52,0,0,0,0,0,0,0,8.94,0,0,0,266.19
 60-70,0,0,0,0,0,14.26,0,0,1.24,3.9,0,0,0,0,1.1,1.97,0,602.98,3.04,0,0,2.77,20.53,0.62,0,0,0,0,0,0,1.53,0,0,0,425.25
 72-82,0,0,0,0,0,15.17,0,2.19,0,8.28,0,0,0,0,0,20.79,1.59,330.65,8.58,0,0.72,0.84,18.65,0,0,0,1.09,0,0,0,5.44,0,4.48,0,344.61
 84-94,0,0,0,1.78,0,12.4,0.73,0,0,0.65,0.63,0,0,3.04,0,11.31,9.21,680.93,6.42,0,1.07,0.68,7.15,0,1.26,0,0.71,0,0,0,1.89,0,0,0,328.01
 96-106,0,0,0,1.48,2.12,12.51,0,0,0,8.54,1.04,0,0,4.34,0,10.05,8.31,385.49,17.14,1.15,1.09,0,30.9,0,0,0,3.27,0,0,0,0,1.22,1.19,3.01,372.4
108-118,0,0,0,0,2.18,28.91,0,1.37,0,12.89,1.16,0,0,1.05,0,25.87,0,640.72,16.38,0,0,3.47,32.93,0.51,1.56,0,0,0,0.6,0,0.94,0,0,0,542.43
120,0,0,0,0,3.56,15.68,0,0,0,0,14.93,0,0,0,0,0,0,236.09,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0,0,0,230.99
