stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,15.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,4.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,4.57,1.89,0,0.95,0,0,1.27,0,0,2.01,0,0,0
 24-34,0,1.24,0,2.78,0,0,1.22,0,0,0,0,0,0,0,75.88,0,7.74,1.55,0,0.68,0,0,2.42,13.08,0,0,0
 36-46,0,0,0,1.34,0,0,0,0,0,0,1.31,0,0,1.42,86.68,0,9.39,0,0,10.96,0,0,0,21.76,0,0,0
 48-58,0,0,0,7.64,0,0,0,0,0,1.59,1.16,0,0,0,154.43,0,7.49,0,0,4.69,0,0.61,0,8.63,0,0,0.68
 60-70,0,4.27,0,22.58,0,0,0,0.6,0,0,2.95,0,0,0,201.07,0,13.79,5.93,0,0,0,0,0,2.47,0.64,0,0
 72-82,0,0,0,55.12,2.94,0,0,0,0,0,1.62,0,0,0,308.75,0,25.39,2,0,0,0,0,0,8.07,1.52,1.37,0
 84-94,0,2.17,0,39.58,3.74,0,0,0,0,0,7.12,0,0,1.2,181.14,0,14.06,4.51,0,0,0,0,0,2.51,0,0,0
 96-106,0,0.6,0,112.37,12.21,0.71,0,0,0.75,0,7.36,0,1.02,4.14,255.14,0,36.16,11.5,0,1.63,0,0,0,1.51,0.97,0,0
108-118,0,0,0,150.12,4.48,0,0,0,0,0,2.12,3.95,0,0,290.66,0,24.79,0,0,5.46,0,0,0,0,0,0,0
120,0,1.18,1.8,69.47,14.26,0,0,0,0,0,6.45,0,0,0,425.56,4.18,72.27,0,0,0,0,0,0,18.05,0,0,0
