stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,5.25,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,2.23,0,0,0.97,0.91,0,0,0,0,0,0,1.21,0,1.27,30.16,0,1.03,0,0,0,0,0,3.28,0,0,1.4,12.83,0,0,0,0,0
 24-34,0,0,2.88,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0.84,0,0,62.94,0.85,0,0,0,0,1.94,0,0,0.61,0,0,23.85,0,0,0,0,0
 36-46,0,0,2.24,0,0,18.38,0.79,0,3.83,0,0,0,0,0,0,0,3.8,0,0.75,213.1,0,0,0,0,0,5.42,0,0,0,0,0,58.66,0,0,2.3,0,0
 48-58,0,0,1.85,0,0,48.08,1.2,1.45,4.32,0.56,0,0,0,0,0,0,3.68,0,1.18,313.22,0,0,0,0,0,3.43,0,0,0,0.9,0,31.67,0,0,0,0,5.3
 60-70,0,0,0,0,0,213.04,0,2.25,48.52,1,0,0,0,1.39,0,0.73,14.82,0,0.93,877.88,9.03,0.98,0,0,0,1.77,0,0,0,0,0,124.7,0,0,0,0,0
 72-82,0,0,9.92,0.91,0,492.27,2.99,0,117.43,5.97,0,0,6.52,0.67,1.24,0,47.54,0,2.99,1761.35,0,0.68,1.48,0,0,4.46,0,0,0,0,0,143.37,1.58,0,0,0,0
 84-94,0,0,9.21,8.26,0,421.58,2.81,0,95.03,5.16,0,2.34,4.63,0,1.19,2.26,42.07,0,0.98,1158.91,0,0,1.85,0,2.48,6.44,0,0,0.57,0,0,108.73,0.9,0.63,1.85,2.36,8.03
 96-106,0,0,12.71,11.64,0,505.81,0,0,108.34,5.65,0,0,4.62,2.06,9.55,0,39.8,4.05,0.94,1089.9,0,0,0,0,0,0,1.35,0,0.65,0,0,34.63,0,0,5.54,0,8.81
108-118,0,0,26.61,3.56,0.5,531.37,0,0,129.36,21.35,0,3.56,6.03,0.81,3.15,4.51,46.8,0.76,1.14,1335.46,0,0,0,0,0,7.96,0,0,0,0,0,32.91,0,0,1.63,0,1.55
120,0,0,35.32,18.57,0,277.01,0,0,61.6,15.17,0,0,0,0,0,0,32.7,0,3.21,744.77,0,0,0,0,3.68,1.09,0,0,0,0,0,25.17,0,0,0,0,0
