stage,glial,gut,mesenchyme,neural,periderm
 48-58,0,0,0,1.16,0
 60-70,0,0,0.82,0,1.03
 72-82,0,0,3.29,0,0
 84-94,0,0,2.67,0,0
 96-106,0.89,0.66,1.1,0,0
108-118,0,0,8.6,0,1.26
