stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.39,2054.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.27,0,0,0,0,0,0,0
  5-6,34.25,274.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,29.09,0,0,0,0,0,0,0
  7-9,6.78,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,16.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,4.14,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0,0,5.19,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,11.91,1.08,0,0,0,0,0,0,1.64,0,0,39.32,0,0
 24-34,0,0,0,3.78,0,61.21,0,0,0,0,0,0,0,2.42,0,0,0,0,0,3.14,0,0,0,35.64,0,0,0,0,0,0,0.87,6.46,0,0,795.92,0,0
 36-46,0,0,1.17,0,0,52.06,0,0,13.77,0,0,0,0.63,0,0,0,23.05,0,0,1.66,0,0,2.37,40.93,0.7,0,0,0,0,1.67,0,8.61,0,0,601.2,0,1.47
 48-58,0,0,5.1,0,0,61.98,0,0,44.06,1.78,0,0,0,1.04,0,0,15.21,0,0.62,18.82,0,0,2.85,38.2,0,0,6.9,0,0,0,0,7.99,0,0,282.96,0,0.54
 60-70,0,0,24.78,0,0,33.35,0,9.83,36.32,0.71,0,0,0,0,1.16,0,50.44,0,0,201.22,0,1.74,4.19,43.41,0,0,5.92,0,0,0.65,0,3.05,0,5.13,127.62,0,0
 72-82,0,0,140.09,0,0,41.28,0,0.61,41.72,5.22,20.01,0,5.59,0.64,1.6,0,89.91,0,0,371.19,0,7.9,4.01,74.24,0,1.09,12.83,0,0,0,0,2.52,0,20.26,85.43,74.9,2.83
 84-94,0,0,173.34,0,0,40.64,0.56,0.66,23.02,9.01,4.62,0,6.6,1.03,15.54,0,84.41,0,0,299.44,0,9.41,0,30.91,0,3.61,17.88,0,0,2.41,0,0,0,27.92,111.44,141.13,0
 96-106,0,0,515.25,3.03,0,73.81,2.05,15.09,31.29,3.9,28.88,0,8,3.86,14.93,4.46,133.98,7.81,3.66,421.96,5.53,179.19,3.19,76.13,0,0.89,25.39,0,0,11.97,0,11.66,8.52,26.16,173.16,382.81,0
108-118,0,0,925.25,3.45,1.34,60.33,0,13.95,7.32,1.07,77.5,0,33.89,2.5,12.66,1.52,104.07,1.74,0,478.75,5.61,85.8,2.16,167.35,0,4.33,9.11,0,6,10.11,0,1.51,19.68,7.99,141.04,230.02,0
120,0,0,442.38,0,0,72.21,0,2.43,1.6,0,12.67,0,21.37,0,3.9,2.22,18.27,0,0,359.6,8.93,188.08,0,134.85,0,8.8,5.6,0,0,23.31,0,0,6.13,57.12,77.1,348.25,0
