stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,45.44,111.92,0,0,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,111.32,0,79.9,0,0,0,8.4,0,0,0,0,0,24.19,0,0,0,0,0,5.32,0,0,0,0,0,1783.68,403.66,0,0,1717.86,0,0,0,45.53,73.31,0,23.22,0,0,0,0,0,0
 14-21,1.28,0,2.91,29.38,10.91,0,31.67,0,0,0,5.95,2.14,1.79,0,8.09,1.04,0,0,0,0,20.18,0,0,32.84,1787.52,156.07,3.23,1.67,94.74,0,0,0,678.48,5.35,23,393.82,373.43,0,0,0,0,0
 24-34,0,0.97,4.58,14.53,0,0,141.49,0,0,0.61,16.82,1.02,0,0,77.87,1.4,0,1.26,0.86,0,13.06,2.72,1.66,22.56,4448.04,16.16,10.28,1.38,0,2.91,10.37,0,0.71,0.64,3.31,83.53,777.16,0,0,3.25,0,0
 36-46,0,0.73,0,5.81,0,0,751.85,0,0,1.27,133.97,0,0,0,95.26,3.82,11.38,0,9.03,0,35.29,0,0,7.72,7421.38,1.86,9.21,2.12,0,0,12.81,0,0,3.76,2.58,0,1317.91,0,1.04,7.13,0,6.93
 48-58,0,0,0,20.37,4.4,0,1672.1,0.48,6.54,0.37,313.35,0,0,0.38,64,0,10.08,0.88,1.39,2.6,62.36,0.9,7.15,14.63,8252.73,11.13,8.53,4.86,0,0,4.6,0,0,0,2.61,0,1416.7,0,0.44,4.65,0,16.06
 60-70,0,0,0,15.72,0.79,0,2808.66,9.65,0,7.09,282.49,5.46,0,0,105.44,0.6,4.25,0,0,4.77,56.53,0,3.23,17.8,11164.83,0,14.35,5.42,0,0,1.86,0,0,8.47,2.36,0,1016.81,0,2.02,10.02,0.73,24.4
 72-82,0,4.46,0,51.51,13.49,0,2916.98,5.74,14.08,3.28,254.19,10.76,0,2.73,96.5,0.56,8.96,1.53,2.41,3.9,158.67,1.84,3.83,18.67,11614.19,0.73,22.25,10.49,0,0,17.21,0,0,4.15,0,0,755.6,2.9,2.53,12.36,10.87,42.5
 84-94,0,9.28,0,63.67,20.21,0,1889.91,10,4.01,4.74,236.78,1.86,0,3.85,132.16,5.75,14.85,2.72,0,8.68,120.2,0,7.59,8.25,8384.51,1.36,15.55,10.86,0,0,20.81,0,0,16.54,0.66,0,639.34,2.84,6.96,7.06,4.76,4.81
 96-106,0,0.94,0.74,62.77,35.52,3.54,1608.88,11.09,6.68,6.99,228.7,4.72,0,4.56,133.81,0.67,1.14,0.62,7.95,3.61,145.72,0,3.92,22.22,7211.77,0,40.43,12.01,0,10.27,28.98,4.11,0,10.42,0,0,253,2.26,1.26,29.42,5.81,19.11
108-118,0,6.14,2.05,67.69,12.78,0,1559.79,10.71,1.27,1.7,246.65,8.79,0,0,106.38,3,15.65,6.28,17.78,0,75.73,0,7.51,12.95,10074.81,1.37,11.47,18.58,0,3.22,6.5,0,0,5.49,0.43,0,218.14,3.43,5.77,7.96,3.29,7.57
120,0,0,0,91.54,24.48,0,1172.71,13.04,6.25,40.64,219.65,6.67,0,0,178.67,17.44,0,1.3,32.45,0,78.56,0,2.21,8.08,12877.17,7.32,39.05,14.25,0,7.89,9.99,0,0,8.98,0,0,365.41,0,0,13.72,8.01,0
