stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,8200.02,4671.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.96,0,0,0,0,0,0,0,0,0,0
  5-6,19849.87,2452.73,0,191.79,0,0,0,0,0,0,0,0,2403.8,0,0,0,0,0,0,0,0,0,0,0,808.49,219.78,0,0,15.17,0,10.12,0,0,0,0,0,0,0,0,0,0
  7-9,2958.23,216.1,0,1231.26,0,11.97,3695.59,0,0,0,0,0,16890.68,0,0,0,0,0,0,0,0,0,0,0,5368.18,102.36,0,0,175.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,35.19,0,1154.76,0,863.97,2565.05,0,0,0,0,0,2612.36,0,0,0,0,0,0,0,0,0,0,0,5684.16,28.47,0,0,58.95,0,0,5.55,88.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,93.47,89.22,0.82,0,0,0,1.19,0,6.14,0,0,0,0,0,0,0.85,11.09,0,0,0,41.88,0,0,1.21,0,0,0,0,0,0,12.5,11.17,0,0,6.4,0,0
 24-34,0,0,0,0,3.48,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.51,0,0,10.55,254.23,0,0,127.69,0,0,0,0,0,0,12.52,2.36,0,0,4.69,0,0
 36-46,0,0,0,0,3.16,2.46,4.42,0,0,0,4.06,0,0,0,1.96,0.68,0,0,0,0,649.86,0,0.85,3.56,826.87,0,0.68,109.91,0,0,0,0,0,2.35,0,5.7,0,2.73,1.67,0,1.43
 48-58,0.77,0,0,0,4.55,0,63.53,0,1,3.01,7.33,0,1.1,1.51,0,0,3.8,0,0,0,2359.7,1.16,3.7,26.4,1069.22,0.86,1.68,37.6,0,0.79,4.83,0,0,0,0,32.26,0,0,0.75,0,0.51
 60-70,0.81,0,0,0,23.08,3.52,36.42,1.23,0,0,6.21,2.68,0,1.85,0,0,0,0,0,0,3246.24,0,0,1.7,642.8,0,0,22.71,0,0.96,14.21,0,0,0,0,9.77,1.22,9.5,0,0.59,2.18
 72-82,0,0,1.14,0,14.96,0.49,175.66,1.19,2.15,21.9,25.19,0,0,0.93,0.83,0.84,0,0.55,5.71,0,6583.02,0,8.97,19.69,704.67,1.24,3.1,43.54,0,0,3.55,0,0,0,0,37.91,4.47,37.04,7.14,11.53,3.87
 84-94,0,0,0,0,23.58,0,301.92,4.09,0.66,18.58,39.58,1.36,0.91,2.4,9.15,2.51,0,0.62,0,0,5775.77,0,13.25,33.33,171.12,0,0.91,59.35,0,5.26,0.56,0,2.8,0,0,5.44,10.14,69.41,1.54,4.57,5.66
 96-106,0,0,0,0,54.33,58.11,177.77,3.41,1.5,1.02,23.62,3.05,0,6.57,9.28,1.17,0.81,0,12.32,0,5938,4.16,18.68,27.61,464.11,1.54,4.85,80.86,0,39.59,9.2,0,0,0,0,6.98,2.01,43.7,4.18,6.35,0
108-118,0,0,0,0,40.35,3.48,96.9,0,1.29,7.89,7.86,0,0,0,0,0,0,1.02,5.97,0,6425.13,0,18.68,7.24,656.37,0.55,1.47,65.41,0,40.93,4.41,0,0,0,0,10.94,6.03,43.86,0,7.05,0
120,0,0,0,0,17.7,2.03,129.27,0,3.9,4.2,27.94,0,0,0,0,0,3.18,0,5.6,0,5188.94,0,0,7.16,887.66,0,1.62,42.06,0,28.94,27.71,0,0,0,0,0,0,174.51,0,0,0
