stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,43.84,2.75,0,15.87,0,0,0,6.14,0,1.19,0,0,0,0,0,0,0,20.01,0,0,13.59,301.3,0,0,2.64,6.92,6.65,15.52,1.13,2.52,10.18,75.93,0,0,0,0,0
 24-34,0.63,18.24,2.36,0,199.05,0,0,0,15.62,0,0,1.13,5.24,3.98,1.61,3.09,0.76,0.95,98.01,0,0,24.93,1349.89,0.65,5.17,11.74,0,23.12,0,0,0,2.47,249.31,0,0,19.5,0,0.78
 36-46,0,18.66,8.03,0,392.99,2.75,0,6.9,22.58,0.74,0,0.73,0,0,13.07,0,2.4,0.7,76.83,0,6.7,7.27,723.6,0,1.34,5.69,0,37.62,0,0,0,0,120.86,0,0,17.53,0,0
 48-58,0.4,8.98,8.59,0,475.17,0,0,0,24.79,3.45,0,0.42,4.9,0.37,1.13,0.49,1.98,0,109.22,0,3.17,15.78,390.63,0,4.49,4.73,0,3.57,0,0,0,0,60.3,0,0,10.71,0,0.38
 60-70,0,23.73,6.67,2.15,310.77,0,1.18,0.93,37.45,5.49,0,2.06,0,0,4.26,8.18,1.82,0,99.27,2.15,9.51,9.36,279.33,0,1.97,0,0,14.59,0,0,0,0,16.86,0,0,2.04,0,0
 72-82,0,10.34,2.52,0,101.97,0,0,0,18.88,0.63,0,0.5,0,0,0.49,0,1.52,0,49.52,0,1.81,10.58,127.61,0.58,1.92,1.62,0,4.04,0,0.73,0,0,2.48,0,1.91,6.08,0,0
 84-94,0,9.42,13.75,1.97,120.71,0,3.05,8.65,23.56,0.68,0,5.7,3.22,1.17,0.66,0,0.96,0,58.03,1.22,7.49,10.13,105.63,0,0.8,6.45,0,5.19,0,0,0,0,3.63,0,0,24.83,0,0
 96-106,0,5.51,0,0,50.81,0.87,0,0,7.85,1.5,0,0.96,0.56,0.56,0,0.96,0,0,25.02,0,0.98,4.53,82.98,0.58,0.81,4.34,0,1.58,0,0,0,0,0,0,0,6.49,0.93,0
108-118,0.74,2.76,8.61,1.49,71.25,0,0,0,14.07,4.76,0,1.61,1.65,0,1.05,2.77,0.43,1.02,24.59,0,3.68,9.13,99.49,0,10.25,1.33,0,1.81,0,0.53,0,0,1.99,1.19,0,8,1.3,0
120,1.28,7.71,27.32,0,169.92,0,0,15.85,38.03,5.43,0,0,4.9,1.07,1.18,0,3.84,0,58.2,0,2.35,6.86,262.34,6.07,0,9.18,0,2.55,0,1.56,0,0,0,0,0,16.85,0,0
