stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0,0,1.11,0,0,0,0,0,0,0,27.8,0,2.04,0,0,0.86,23.71,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.67,0,0,0,140.38,0.59,9,0,0,0,32.15,0,0,0,0
 36-46,0,0,0,0,11.77,0,0,0,0,0,0,0.83,245.17,0,8.45,0,0,0,52.89,0,0,0,0
 48-58,0,0,1.06,2.73,21.61,0,0,0,1.45,0,0,0.76,307.75,0,7.08,0,5.29,0,34.9,0,1.79,0,4.63
 60-70,0,0,0,0,32.46,1.42,0,0,9.53,0,0,2,501.19,0,1.11,0.83,2.44,0,45.36,0,1.46,0,0
 72-82,0,0.98,1.91,3.32,81.58,0,3.27,0.85,2.55,0.53,0,6.01,586.92,0,0.75,0,0,0,23.68,1.87,0.83,0,0
 84-94,0,0,0,0,44.86,0,0,0,0.72,0,1.02,2.12,437.56,0.6,3.11,0,0.71,0,23.48,0,0,0,0
 96-106,0,0.99,0,0,84.01,0,0,0,17.79,1.73,0,1.93,405.27,0,0.74,0,0.87,0,8.61,0,0,0,0
108-118,0,0,4.19,0,66.92,0,0,0,3.43,0,0.59,8.24,610.35,0.48,5.37,7.39,0,0,20.31,0,0.56,0,0
120,0,0,18.05,0,135.65,0,0,4.33,5.74,6.17,2.02,17.77,1097.2,0,7.38,0,0,0,36.68,0,0,10.56,0
