stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27,0,0,0,0,0,0,0,0,0
  7-9,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.75,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.64,0,15.21,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,25.83,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,1.36,10.96,0.83,0,0,3.87,0,0.97,2.25,0,2.69,6.64,0,0,2.44,0,0
 24-34,0,0,0,4.42,0,0,0,0.82,0,0,1.02,0,1.04,1.01,0,0,0,0,0.85,0,0,0.78,7.15,0,0,0,0,0,6.44,0,0,0,1.76,0,0,6.72,0,1.72
 36-46,0,0,0,0,0,0,5.37,6.3,1.17,0,0,0,0,2.04,0,0,0,0,0,0,0,2.34,21.69,0,3.51,0,0,0,15.05,0,0,0,1.92,0,0,1.33,0,0
 48-58,0,0,0,4,0,0,1.63,0,0,0.49,0,0,1.9,0.39,0,0,0,0.64,4.28,0,0,0,41.74,8.09,0.38,0,0,0,8.73,0,0,0,0.82,0,0,0.52,0,2.31
 60-70,0,0.62,0,2.01,0,0,11.08,4.67,0.94,2.41,0.62,0,0,0,0.85,0,0,0,6.81,0,0,8.61,16.63,0,6.66,0,0,7.62,24.72,0,0,0,1.35,0,0,5.83,0,16.53
 72-82,0,0,0,3.91,0.59,0,13.28,0,1.26,5.35,0.56,0.56,6.22,5.26,0,0,0,0.49,10.06,0,1.09,1.15,54.57,0,7.82,0,0,2.01,14.7,0,0,0,0,0.94,2.25,4.88,1.24,0
 84-94,0,0,0,12.77,0,0,7.19,0.84,0,0.57,4.6,1.06,2.42,0.73,2.09,0.63,1.49,7.83,3.26,0,2.76,0.56,27.97,0,4.86,0,0,0,41.47,0,0,0,4.8,2.92,0,4.39,0,0
 96-106,0,0,0,6.51,0,0,2.72,0,3.22,3.34,2.94,0,10.73,1.94,1.36,0.97,0,5.26,8.66,0,0.63,2.83,13.79,0,12.89,0.91,0,1.17,55.97,0,0,0,6.5,1.62,1.96,7.62,0,0
108-118,0,0,0,13.16,0.7,2.15,23.88,1.05,0.44,4.39,8.34,0,11.29,5.56,1.49,0,0,0,9.51,0.59,0,0,85.72,0,4.31,0,0,1.1,41.26,0,0,0,0,0.94,2.63,10.92,0,1.56
120,0,0,0,12.32,8.74,0,18.13,0,0,0,7.7,0,10.75,4.69,0,2.12,1.37,0,6.72,0,0,3.32,44.09,0,12.36,0,0,4.76,96.75,0,3.23,0,0,0,0,22.59,0,0
