stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.69,0,0,4.82,0,0,0,0,0,0
 14-21,1.69,9.95,0,7.29,0,2.14,0.99,0,0,0,0,3.66,0,0,57.22,3.56,2.63,0,1.02,0,23.81,0,0,0
 24-34,0.9,2.08,0,0.68,0.7,1.49,0,0,0,0,0.77,1.3,0,0.78,33.2,1.25,0.64,0,1.85,0,7.46,0,1.32,0
 36-46,0,0,0,2.07,0,1.2,0,0,0.72,0,0,0,0,0,15.8,2.65,2.8,0,12.39,0,0.77,0,0,0
 48-58,0,2.5,0,4.25,0,2.44,0,0,0,0,0,0.66,0,0,16.42,0,3.44,0,0,0.4,4.36,0,0,0
 60-70,0.95,0,0,2,0,1.55,0,0,0.71,0,0,3.27,0,0,14.89,0,0.62,0,0.67,0,1.31,0,0,0
 72-82,0,0.75,0,6.85,0,0.85,0,0,0,0,0,1.22,0.67,1.41,11.49,1.33,3.54,0,0.9,0,0,1.33,0,0
 84-94,0,0,0,4.97,0,1.27,0.63,0,0,0,0,1.45,0.71,0,10.28,5.96,0.7,0,0,0,1.74,0.72,0,0
 96-106,1.14,3.42,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.93,2.59,0,4.99,0,0,0,0,0
108-118,1.11,1.57,0.45,9.42,0.48,0,5.42,0,0.75,3.12,0,0,2.89,0,8.07,3.98,0.71,0,3.16,0,0,0.43,0.49,2.59
120,1.22,7.76,0,2.12,0,5.41,0,1.5,0,1.74,0,0,0,0,26.72,2.49,0,0,0,0,0,2.06,0,0
