stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0
 14-21,0,3.32,0.81,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,2.04,0,0,0,0,0.89,0,0,0,0,0
 24-34,0,0,0,0,0,9.1,0,0,0.76,0,3.8,0,0.72,0,0,0,0,8.78,0,1.57,0,0,7.28,0,0,0,0,0
 36-46,0,0,0,0,0,3.62,0,0,9.57,0,8.58,0,0,0,0,0,0,44.42,0,0,0,0,77.07,0,6.44,0,0,0
 48-58,0,0,0,0,0,7.01,1.86,0,20.83,0,1.91,0,0,0,0,0.86,0,49.91,0,0,0,0,91.21,0,12.27,0,0,0
 60-70,0.57,0,0,0,0,76.63,4.89,0,12.76,0,1.23,0.92,0,0,0,0,0,79.01,0,1.03,0,0,57.66,0,0,0,0,0
 72-82,1.99,0,0,0,0,223.32,0,0,39.08,2.23,0.49,0,0,0.54,0,4.56,0,100.87,1.46,0,0,0,45.6,2.8,3.25,4.33,0,0
 84-94,0,0,0,0,0,149.35,0,0,27.35,0.62,3.17,0,0.71,0.8,4.75,4.93,3.28,90.93,0,1.83,0,0,81.06,0,2.14,36.67,2.3,1.29
 96-106,4.2,0,9.99,2.58,0,277.31,1.62,0,20.82,3.39,1.28,0.66,0,0,0.7,2.71,1.41,75.24,0,0,0,0,108.89,0,0,35.26,0,0
108-118,2.27,0,13.07,0,1.15,344.08,1.61,0.84,40.81,2.11,6.99,1.21,2.02,0,2.15,2.87,1.37,112.75,0,0,4.2,0,91.31,0,1.33,55.4,0,0
120,3.74,0,17.74,0,0,121.57,2.36,0,11.63,6.12,1.85,6.84,0,0,0,11.11,0,207.86,0,0,0,0,96.8,0,0,22.52,0,0
