stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,66.71,914.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.32,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.58,399.87,0,0,0,0,0,0,0,0,0,29.79,0,0,0,0,0,0,0,0,0,40.17,0,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.51,9.19,0,0,11.6,0,7.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.47,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.03,0,0,0,5.19,0,3.03,0,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,265.77,96.83,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0.86,23.6,0,0,0,0,2.65,0,0.83,0,26.57,7.36,2.97,0,0,0,0,0
 24-34,0,0,0,452.15,11.49,5.15,0,14.63,0,12.27,0,0,0,0.65,1.43,0,0,10.25,0.69,0,7.21,80.53,0,1.52,0,0,1.51,0,0,0,12.55,2.44,8.36,0,0,9.14,0,2.07
 36-46,0,0,0,254.46,13.46,8.88,0.66,61.25,0,8.27,1.24,0,0,0,6.06,0,0,6.22,1.7,0,2.18,93.88,0,3.89,0,0,0,0,0,0,7.33,0,10.65,0,0,7.34,0,0
 48-58,0,0,0,166.58,0.44,19.77,0,72.29,0,8.15,0,0,0,2.82,0.66,0,0.39,5.65,1.87,0.54,0.91,48.06,0,0.86,0,0,3.85,0,0,0,0.61,0,23.56,0,0,7.79,0,0
 60-70,0,0,0,245.29,0.67,30.81,9.99,55.83,1.21,2.13,1.36,0,2.22,10.11,1.64,0,0,8.87,1.49,0,0,60.11,0,2.12,0,0,3.09,0,0,0,0,0,7.5,0,0,5.35,1.27,0
 72-82,0,0,0,132.5,0,15.88,11.3,34.96,0,2.88,0,0,0.51,1.77,1.88,0,0,18.29,0.49,0,0,64.91,0,2.29,1.65,0,2.66,0,0,0,0,0,9.43,0.62,0.9,10.06,0,0
 84-94,0,0,0,166.89,1.25,15.02,7.08,49.91,0,2.1,2.05,0,0,9.24,2.21,0,0,11.52,0.57,0,7.93,66.36,0,4.26,0,0,19.84,0,0,0,0.55,0,7.07,2.41,0,16.64,0.62,11.81
 96-106,0,0,0,193.07,4.72,32.42,7.28,42.53,0,5.92,3.58,0,0.71,6.87,3.46,0,0,19.21,1.46,0,0.78,45.71,0,8.66,2.89,0,13.49,0,0,0,0,0,0,0.71,0,17.61,0,0
108-118,0,0,0,180.99,1.25,19.41,5.13,77.22,0,5.38,4.13,0,0,9.11,3.61,0,0,10.64,1.41,0.5,0,42.71,0,2.66,1.27,0,15.55,0,0,0,0,0,0,1.36,1.83,2.93,0.57,0
120,0,0,0,205.44,19.66,24.05,11.18,34.67,0,9.11,3.51,0,0,10.72,2.78,1.34,5,3.41,1.13,0,3.62,41.06,0,6.09,0,0,11.46,0,0,2.12,0,0,0,0,0,5.65,0,0
