stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.86,0,0,0,0,0,0,0
 36-46,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0.6,0,0,23.49,0,0,0,0,0,0,0
 48-58,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,0,0,0,41.72,0,2.78,0,0,0,0,0
 60-70,0,0,0,141.33,0,0,0.84,0.99,0,0,0.58,0,0,0,0,0,0,0,7.52,0,0,0,34.14,0,1.47,0,0,0,0,0
 72-82,0,2.88,6.78,736.75,0,0,1.37,0,0,0,0,0,0,0,4.43,1.8,1.21,0,16.56,0,0,0,17.07,0,0,0.5,0,0.79,0,0
 84-94,0,1.79,0,789.72,0,0,0,0,1.46,0,0,0,0,0,2.41,0,0,0,19.17,0,0,0,66.43,0,0,2.89,1.67,3.36,0,0
 96-106,0,8.34,10.52,2247.18,0.97,0,5.93,0,0,0,0,0,0.63,0,22.41,0,0,1.44,25.93,0.81,0.58,0,56.26,0.9,5.04,0,0,0.62,1.06,9.52
108-118,6.97,3.28,2.01,2301.35,0,2.41,8.38,0,0,1.15,0,6.82,0,2.48,7.85,0,0,0,46.43,0,0,1.35,111.05,0,2.21,0,0,0.59,0,0
120,0,7.36,0,2741.39,0,0,11.78,0,0,1.96,0,0,0,0,0,0,0,0,20.98,0,0,0,43.64,0,0,0,0,0,0,0
