stage,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,17.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.29,0,0,0,0
 14-21,0,1.41,0.86,0,0,1.62,1.23,3.87,0.98,3.09,3.55,0
 24-34,0,0,0,0,0,0,0,12.83,0,1.54,0,0.68
 36-46,0,0,0.7,1.22,0.72,0,0,4.08,0,0,0.67,0
 48-58,0,0.41,3.22,0,0,0.54,0,1.14,0,0,0,0
 60-70,0,0,0,0.73,0,17.81,1.96,0,0,0,0,0
 72-82,0,0,1.23,0,0,3.64,1.11,2.6,0,0,0,0
 84-94,0,0,1.72,0,0,8.56,1.62,0,0,0,0,0
 96-106,0,0,0,0,0,8.14,0,0.67,0,0,0,0
108-118,0,0,0,1.24,0,9.47,1.13,0,0,0,0,0
120,0,0,0,0,0,15.28,2.77,1.15,0,0,0,0
