stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,0,107.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.7,244.52,0,0,0,0,0,0,0,0,6.53,17.23,9.77,0,0,0,0,0
  7-9,3.69,5.73,0,0,0,0,15.72,0,0,0,140.89,5.73,59.04,0,0,0,0,0
 10-12,0,0,18.35,0,4.34,0,15.17,0,0,0,104.83,0,19.66,0,12.59,5.78,0,0
 14-21,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,1.02,0
 24-34,0,0,0,0,0,0,0,0,0.62,1.16,0,0,0,0,0,0,1.42,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.05,0,0,5.74,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.52,0,0.73,0,0,0,0,0,0,0,0,0,1.16
 84-94,0,0,0,0,0,0,0,0.55,4.39,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
