stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,taste,vasculature
 24-34,0,0,0,0,0,0,0,0,0,5.03,0,0.77,0,4.96,0,9.63
 36-46,0,0,0,0,0,0,0,0,0,3.65,2.06,0,0.61,8.36,0,0
 48-58,0,0,0,0,0,0,0,0.51,0,0.59,0,0,0,3.98,0,0
 60-70,0,0,0,0,0,0.71,0,0,0,0.65,0,1.15,0,10.73,0,0
 72-82,0.51,0,0,0,0,0,0,0,0,1.05,0,0,7.09,12.65,0,0
 84-94,0.56,0,0,1.14,0,0,1.52,6.03,0,0.89,0,0,0.96,17.54,0,0
 96-106,0.75,0,0.57,0,0,0,0,0,0,1.63,1.9,0.68,1.01,18.05,0,0
108-118,5.57,0,0,0.66,0.75,0,0.63,3.57,2.02,1.82,6.69,2.98,0.44,8.47,0.52,0
120,3.5,2.29,0,0,0,0,0,0,0,0,0,1.91,0,18.61,0,0
