stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,32.46,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.7,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,92.48,0,0,62.9,14.71,55.72,0,0,0,0,0.84,1.12,0,0.8,20.45,7.42,0,0,0,0,0
 24-34,0,0,0,6.68,0,0,4.16,0,1.18,25.2,1.06,0,0,0,0,0,0,0,0,0,722.52,0,0,348.22,44.55,87.35,5.06,0.78,10.77,0,0,0,0,0.63,24.92,9.81,0,0,24,0,0
 36-46,0,0,0,11.2,0,0,20.55,0,5.53,147.3,0,0,0,5.63,1.92,0,0,0,0,0,1532.22,0,0.67,587.54,75.55,54.83,0,0,0,1.69,5.13,3.1,0.81,23.73,5.74,15.84,0,0.62,12.82,0,0
 48-58,0,0,0,15.2,0,0,52.91,0.99,12.9,418.05,4.81,0,0,3.1,1.16,0,0,0,0,0,3093.07,0.74,1.42,860.88,152.2,67.98,6.62,0.91,0,0,9.45,0,0,2.34,0,26.89,0,0.42,13.77,0,0
 60-70,0,0,0,11.86,0,0,65.65,0,35.04,357.43,15.01,0,0,0.87,6.11,0,1.78,0,7.53,0,4515.25,3.4,16.82,691.16,73.18,19.08,3.72,1.16,0,4.5,11.91,0,2.39,3.93,0,23.25,0,6.83,18.84,0,7.51
 72-82,0,1.03,0,31.31,0,0,210.04,2.05,25,546.33,19.1,0,0,2.84,0,1.12,1.68,1.37,2.04,1.18,7500.69,0.55,15.63,1090.16,226.66,9.79,8.63,13.12,0,8.22,2.24,0,2.67,0,0,11.4,0,27.44,46.03,22.67,13.76
 84-94,0,1.15,0,21.37,0.55,2.96,262.25,0.56,14.23,484.97,13.48,0,0.76,4.66,5.06,0,5.14,0,0.57,0,6192.3,0,61.47,738.16,69.86,7.71,0.7,1.36,0,12.32,11.53,0,2.99,0,0,9.28,1.58,23.33,30.25,15.41,5.7
 96-106,0,0,1.07,39.79,12.16,3.03,202.52,0,16.98,406.03,53.4,4.99,0,12.46,3.04,0,9.28,2.11,5.92,0.63,6645.72,2.35,26.01,839.49,272.47,2.31,13.03,7.83,0,28.13,13.52,0,16.18,0.9,0,4.3,5.52,32.04,86.57,22.63,8.85
108-118,0,0,1.46,37.04,2.08,0,112.25,0.67,9.18,145.76,13.76,0.92,0,0,2.34,0,7.79,0,3.56,0,6942.8,6.89,13.83,615.5,249.93,3.18,2.27,3.75,0,37.43,9.14,0,11.23,0,0,1.31,1.01,41.77,26.68,16.72,0
120,0,0,0,18.89,2.65,0,97.35,0,5.59,185.67,2.66,0,0,2.09,0,1.1,1.62,0,2.46,0,5266.49,4.69,83.43,446.24,229.09,12.85,3.33,2.44,0,16.08,0,0,11.22,0,0,0,6.98,59.64,10.72,3.15,0
